"List","Num_genes"
"TMM name","../normed_counts/ALL_Mic_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","768"
"CTL_cyclers_AR33BHQ1","116"
"AD_cyclers_AR20BHQ1","613"
"AD_cyclers_AR33BHQ1","126"
"AD_CTL_mthd2_cyclers_AR20BHQ1","1026"
"DR_cyclers_AR1BHQ3","3"
"DR_cyclers_AR20BHQ3","56"
"DR_cyclers_AR33BHQ3","0"
"DR_cyclers_mthd2_AR1_DRBHQ3","3"
"DR_cyclers_mthd2_AR20_DRBHQ3","75"
"DR_lostAmpAD_AR1BHQ3","2"
"DR_lostAmpAD_AR20BHQ3","35"
"DR_lostAmpAD_AR33BHQ3","0"
"DR_mthd2_lostAmpAD_AR1BHQ3","2"
"DR_mthd2_lostAmpAD_AR20BHQ3","46"
"DR_gainAmpAD_AR1BHQ3","1"
"DR_gainAmpAD_AR20BHQ3","21"
"DR_gainAmpAD_AR33BHQ3","0"
"DR_mthd2_gainAmpAD_AR1BHQ3","1"
"DR_mthd2_gainAmpAD_AR20BHQ3","29"
