"List","Num_genes"
"TMM name","../normed_counts/AstroSubtypes1_2_5_6_7_8_FiltByExprDefault_TMM_CombatAdjusted.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","1603"
"CTL_cyclers_AR33BHQ1","591"
"AD_cyclers_AR20BHQ1","967"
"AD_cyclers_AR33BHQ1","305"
"AD_CTL_mthd2_cyclers_AR20BHQ1","2034"
"DR_cyclers_AR1BHQ3","0"
"DR_cyclers_AR20BHQ3","10"
"DR_cyclers_AR33BHQ3","77"
"DR_cyclers_mthd2_AR1_DRBHQ3","0"
"DR_cyclers_mthd2_AR20_DRBHQ3","9"
"DR_lostAmpAD_AR1BHQ3","0"
"DR_lostAmpAD_AR20BHQ3","6"
"DR_lostAmpAD_AR33BHQ3","60"
"DR_mthd2_lostAmpAD_AR1BHQ3","0"
"DR_mthd2_lostAmpAD_AR20BHQ3","6"
"DR_gainAmpAD_AR1BHQ3","0"
"DR_gainAmpAD_AR20BHQ3","4"
"DR_gainAmpAD_AR33BHQ3","17"
"DR_mthd2_gainAmpAD_AR1BHQ3","0"
"DR_mthd2_gainAmpAD_AR20BHQ3","3"
