"Query","Entrez","Symbol","Name","Comment"
"ETV5","2119","ETV5","ETS variant transcription factor 5","1"
"PER2","8864","PER2","period circadian regulator 2","1"
"SPRED3","399473","SPRED3","sprouty related EVH1 domain containing 3","1"
"PGAM1","5223","PGAM1","phosphoglycerate mutase 1","1"
"NRN1","51299","NRN1","neuritin 1","1"
"PPT1","5538","PPT1","palmitoyl-protein thioesterase 1","1"
"MIEF1","54471","MIEF1","mitochondrial elongation factor 1","1"
"ARMCX3","51566","ARMCX3","armadillo repeat containing X-linked 3","1"
"SNRNP25","79622","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25","1"
"CD59","966","CD59","CD59 molecule (CD59 blood group)","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"RTN4","57142","RTN4","reticulon 4","1"
"RETREG2","79137","RETREG2","reticulophagy regulator family member 2","1"
"CYCS","54205","CYCS","""cytochrome c, somatic""","1"
"SULT4A1","25830","SULT4A1","sulfotransferase family 4A member 1","1"
"C1orf216","127703","C1orf216","chromosome 1 open reading frame 216","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"NDUFA5","4698","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","1"
"SELENOW","6415","SELENOW","selenoprotein W","1"
"DNAJB9","4189","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","1"
"RPSA","3921","RPSA","ribosomal protein SA","1"
"SPECC1L","23384","SPECC1L","sperm antigen with calponin homology and coiled-coil domains 1 like","1"
"FNDC4","64838","FNDC4","fibronectin type III domain containing 4","1"
"MOAP1","64112","MOAP1","modulator of apoptosis 1","1"
"PSAP","5660","PSAP","prosaposin","1"
"PNMA8A","55228","PNMA8A","PNMA family member 8A","1"
"SPRED2","200734","SPRED2","sprouty related EVH1 domain containing 2","1"
"LGI3","203190","LGI3","leucine rich repeat LGI family member 3","1"
"SSR2","6746","SSR2","signal sequence receptor subunit 2","1"
"COQ10B","80219","COQ10B","coenzyme Q10B","1"
"ATP6AP2","10159","ATP6AP2","ATPase H+ transporting accessory protein 2","1"
"RPL15","6138","RPL15","ribosomal protein L15","1"
"GABBR1","2550","GABBR1","gamma-aminobutyric acid type B receptor subunit 1","1"
"FEZ1","9638","FEZ1","fasciculation and elongation protein zeta 1","1"
"PRAF2","11230","PRAF2","PRA1 domain family member 2","1"
"RPS28","6234","RPS28","ribosomal protein S28","1"
"BLOC1S6","26258","BLOC1S6","biogenesis of lysosomal organelles complex 1 subunit 6","1"
"ITM2C","81618","ITM2C","integral membrane protein 2C","1"
"TIMM17A","10440","TIMM17A","translocase of inner mitochondrial membrane 17A","1"
"PGK1","5230","PGK1","phosphoglycerate kinase 1","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"CCDC85B","11007","CCDC85B","coiled-coil domain containing 85B","1"
"CCNI","10983","CCNI","cyclin I","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"NSG1","27065","NSG1","neuronal vesicle trafficking associated 1","1"
"DUSP6","1848","DUSP6","dual specificity phosphatase 6","1"
"TRIB2","28951","TRIB2","tribbles pseudokinase 2","1"
"SPATA2L","124044","SPATA2L","spermatogenesis associated 2 like","1"
"SEPHS2","22928","SEPHS2","selenophosphate synthetase 2","1"
"STRAP","11171","STRAP","serine/threonine kinase receptor associated protein","1"
"DLGAP1","9229","DLGAP1","DLG associated protein 1","1"
"DOCK3","1795","DOCK3","dedicator of cytokinesis 3","1"
"SPIDR","23514","SPIDR","scaffold protein involved in DNA repair","1"
"TAF13","6884","TAF13","TATA-box binding protein associated factor 13","1"
"PINK1","65018","PINK1","PTEN induced kinase 1","1"
"POLE3","54107","POLE3","""DNA polymerase epsilon 3, accessory subunit""","1"
"GLRX5","51218","GLRX5","glutaredoxin 5","1"
"SARAF","51669","SARAF","store-operated calcium entry associated regulatory factor","1"
"ELOC","6921","ELOC","elongin C","1"
"DBNDD2","55861","DBNDD2","dysbindin domain containing 2","1"
"GOT1","2805","GOT1","glutamic-oxaloacetic transaminase 1","1"
"VDAC1","7416","VDAC1","voltage dependent anion channel 1","1"
"ARCN1","372","ARCN1","archain 1","1"
"C18orf32","497661","C18orf32","chromosome 18 open reading frame 32","1"
"SNN","8303","SNN","stannin","1"
"OAZ1","4946","OAZ1","ornithine decarboxylase antizyme 1","1"
"RPS27","6232","RPS27","ribosomal protein S27","1"
"RPS19BP1","91582","RPS19BP1","ribosomal protein S19 binding protein 1","1"
"VTI1A","143187","VTI1A","vesicle transport through interaction with t-SNAREs 1A","1"
"ATG9A","79065","ATG9A","autophagy related 9A","1"
"TMEM167A","153339","TMEM167A","transmembrane protein 167A","1"
"DUBR","344595","DUBR","DPPA2 upstream binding RNA","1"
"NPM1","4869","NPM1","nucleophosmin 1","1"
"TCEAL7","56849","TCEAL7","transcription elongation factor A like 7","1"
"TMEM14B","81853","TMEM14B","transmembrane protein 14B","1"
"PRKAR1A","5573","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","1"
"NEU1","4758","NEU1","neuraminidase 1","1"
"ISCU","23479","ISCU","iron-sulfur cluster assembly enzyme","1"
"RNF6","6049","RNF6","ring finger protein 6","1"
"TUSC2","11334","TUSC2","""tumor suppressor 2, mitochondrial calcium regulator""","1"
"TGOLN2","10618","TGOLN2","trans-golgi network protein 2","1"
"PLEKHJ1","55111","PLEKHJ1","pleckstrin homology domain containing J1","1"
"EIF4G3","8672","EIF4G3","eukaryotic translation initiation factor 4 gamma 3","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
