"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Fructose and mannose metabolism",40,7.7377,22,4.4929e-07,6.3475,3.774e-05,3.774e-05,1.5897
"Purine metabolism",166,32.111,55,8.8892e-06,5.0511,0.00073781,0.00037335,1.2121
"Glycerolipid metabolism",35,6.7705,16,0.00031822,3.4973,0.026094,0.0079844,1.0588
"Lysine degradation",49,9.4787,20,0.00038021,3.42,0.030797,0.0079844,0.6875
"Glycolysis or Gluconeogenesis",61,11.8,23,0.00055443,3.2562,0.044354,0.0093144,1.3
"Nitrogen metabolism",10,1.9344,7,0.00067873,3.1683,0.05362,0.0095023,0.55556
"Pyruvate metabolism",45,8.7049,16,0.0074463,2.1281,0.58081,0.089355,1.0909
"Glutathione metabolism",56,10.833,18,0.014799,1.8298,1,0.14831,0.61818
"Mucin type O-glycan biosynthesis",22,4.2557,9,0.01589,1.7989,1,0.14831,0.2381
"Cysteine and methionine metabolism",71,13.734,21,0.023443,1.63,1,0.19692,0.77143
"Arginine and proline metabolism",78,15.089,22,0.035004,1.4559,1,0.23591,0.74026
"Phenylalanine metabolism",21,4.0623,8,0.035346,1.4517,1,0.23591,1.3
"Phosphatidylinositol signaling system",74,14.315,21,0.03651,1.4376,1,0.23591,0.65753
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",18,3.482,7,0.043052,1.366,1,0.25831,0.82353
"Starch and sucrose metabolism",43,8.318,13,0.057011,1.244,1,0.31423,0.64286
"Inositol phosphate metabolism",69,13.348,19,0.059854,1.2229,1,0.31423,0.44118
"Riboflavin metabolism",9,1.741,4,0.076856,1.1143,1,0.37976,0.75
"Aminoacyl-tRNA biosynthesis",74,14.315,19,0.10785,0.96717,1,0.50332,0.31507
"beta-Alanine metabolism",44,8.5115,12,0.12657,0.89767,1,0.53459,0.74419
"Pyrimidine metabolism",99,19.151,24,0.13037,0.88484,1,0.53459,1.1224
"Arginine biosynthesis",27,5.223,8,0.13365,0.87404,1,0.53459,0.65385
"Phenylalanine, tyrosine and tryptophan biosynthesis",11,2.1279,4,0.14645,0.8343,1,0.55919,2
"Nicotinate and nicotinamide metabolism",42,8.1246,11,0.17299,0.76198,1,0.60686,1.0488
"Amino sugar and nucleotide sugar metabolism",79,15.282,19,0.17458,0.75802,1,0.60686,0.85897
"Retinol metabolism",47,9.0918,12,0.18242,0.73893,1,0.60686,1
"Valine, leucine and isoleucine biosynthesis",12,2.3213,4,0.18784,0.72622,1,0.60686,0.45455
"Propanoate metabolism",48,9.2852,12,0.20329,0.69189,1,0.63245,0.76596
"Sphingolipid metabolism",58,11.22,14,0.21744,0.66266,1,0.63441,0.7193
"N-Glycan biosynthesis",77,14.895,18,0.21902,0.65951,1,0.63441,0.52632
"Sulfur metabolism",18,3.482,5,0.25872,0.58717,1,0.72442,1.2353
"Galactose metabolism",51,9.8656,12,0.2715,0.56624,1,0.73268,1.3
"Thiamine metabolism",14,2.7082,4,0.27912,0.55421,1,0.73268,0.76923
"Pentose phosphate pathway",47,9.0918,11,0.29074,0.5365,1,0.74007,0.93478
"Synthesis and degradation of ketone bodies",10,1.9344,3,0.30233,0.51952,1,0.74193,1.1111
"Butanoate metabolism",29,5.6098,7,0.32302,0.49078,1,0.74193,0.67857
"Pantothenate and CoA biosynthesis",34,6.577,8,0.33018,0.48125,1,0.74193,0.81818
"Valine, leucine and isoleucine degradation",88,17.023,19,0.33451,0.47559,1,0.74193,0.90805
"Ether lipid metabolism",39,7.5443,9,0.33564,0.47413,1,0.74193,0.42105
"Drug metabolism - other enzymes",70,13.541,15,0.37402,0.4271,1,0.80558,0.21739
"Citrate cycle (TCA cycle)",42,8.1246,9,0.42619,0.3704,1,0.89499,1.0488
"Ascorbate and aldarate metabolism",13,2.5148,3,0.47424,0.324,1,0.97162,0.58333
"Selenocompound metabolism",35,6.7705,7,0.52908,0.27648,1,1,0.5
"Terpenoid backbone biosynthesis",36,6.9639,7,0.56158,0.25059,1,1,0.57143
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",31,5.9967,6,0.57216,0.24248,1,1,0.56667
"Neomycin, kanamycin and gentamicin biosynthesis",4,0.77377,1,0.57705,0.23878,1,1,0.66667
"D-Glutamine and D-glutamate metabolism",10,1.9344,2,0.60454,0.21858,1,1,0.33333
"Histidine metabolism",32,6.1902,6,0.60564,0.21778,1,1,0.3871
"Pentose and glucuronate interconversions",32,6.1902,6,0.60564,0.21778,1,1,0.87097
"Taurine and hypotaurine metabolism",16,3.0951,3,0.62415,0.20471,1,1,0.46667
"Glyoxylate and dicarboxylate metabolism",56,10.833,10,0.66581,0.17665,1,1,0.43636
"Ubiquinone and other terpenoid-quinone biosynthesis",17,3.2885,3,0.66712,0.1758,1,1,0.5625
"Tryptophan metabolism",84,16.249,15,0.68104,0.16683,1,1,0.44578
"Glycerophospholipid metabolism",86,16.636,15,0.71765,0.14409,1,1,0.32941
"Glycosphingolipid biosynthesis - globo and isoglobo series",31,5.9967,5,0.74488,0.12791,1,1,0.8
"Alanine, aspartate and glutamate metabolism",61,11.8,10,0.77057,0.11319,1,1,0.45
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",7,1.3541,1,0.77841,0.10879,1,1,0.33333
"Glycine, serine and threonine metabolism",68,13.154,11,0.79296,0.10075,1,1,0.52239
"Vitamin B6 metabolism",21,4.0623,3,0.80286,0.095361,1,1,1.1
"Glycosphingolipid biosynthesis - ganglio series",47,9.0918,7,0.83279,0.079466,1,1,0.82609
"Mannose type O-glycan biosynthesis",30,5.8033,4,0.86048,0.065259,1,1,0.37931
"Arachidonic acid metabolism",81,15.669,12,0.88632,0.05241,1,1,0.575
"Folate biosynthesis",61,11.8,8,0.92681,0.033011,1,1,0.56667
"Biotin metabolism",21,4.0623,2,0.93471,0.029321,1,1,0.95
"Fatty acid elongation",75,14.508,10,0.93707,0.02823,1,1,0.60811
"Various types of N-glycan biosynthesis",36,6.9639,4,0.9385,0.027566,1,1,0.57143
"Linoleic acid metabolism",17,3.2885,1,0.97448,0.011229,1,1,0.25
"Glycosaminoglycan degradation",44,8.5115,4,0.98139,0.0081568,1,1,0.32558
