Item ID	Item value	Change in Kuiper test statistic when item removed
CDKN1A	13.1277668696119	-0.005723905723906908
BTG2	9.81814692359205	0.012794612794611637
BTG1	13.8201512758222	-0.005723905723906908
CD82	13.993977963711	-0.005723905723906908
CD81	11.667315902199	-0.002150070881945021
TRIAP1	11.8379823738815	-0.005723905723906908
HINT1	12.0312337994259	-0.005723905723906908
FDXR	12.8806609199762	-0.005723905723906908
KIF13B	22.5314683548576	0.012794612794611582
RPL36	11.5191794006788	0.00225863521408054
RACK1	12.4980021583122	-0.005723905723906908
CTSF	11.8318027927627	-0.005723905723906908
NUDT15	10.9589080937462	0.012794612794611637
IER5	11.6798685247589	-0.002150070881945021
HRAS	11.4438620310787	0.012794612794611637
CTSD	11.5400380613892	0.00225863521408054
PHLDA3	11.9401833070196	-0.005723905723906908
IER3	13.0902916042058	-0.005723905723906908
RPS12	10.9517335599485	0.012794612794611637
DCXR	13.4131253562584	-0.005723905723906908
TAP1	14.6343166753934	0.003239975109205151
FOS	8.67984521446265	0.012794612794611637
RAP2B	11.9754989063678	-0.005723905723906908
DDIT3	11.498940897528	0.00225863521408054
DDIT4	12.7473823238626	-0.005723905723906908
NINJ1	13.4997647419612	-0.005723905723906908
ISCU	11.7250272838382	-0.002150070881945021
PPP1R15A	11.5679643585024	0.00225863521408054
CEBPA	12.393308308609	-0.005723905723906908
PCNA	13.1091469764498	-0.005723905723906908
EI24	12.2596643907944	-0.005723905723906908
PVT1	0.787108524408114	0.012794612794611637
TOB1	13.4575253610314	-0.005723905723906908
NDRG1	12.029848293784	-0.005723905723906908
CDKN2AIP	12.8318759885769	-0.005723905723906908
ZFP36L1	0.434564140375525	0.012794612794611637
LDHB	12.0848480732958	-0.005723905723906908
DRAM1	8.71368614644771	0.012794612794611637
IRAK1	11.305202007941	0.012794612794611637
ZMAT3	12.2772837357525	-0.005723905723906908
PERP	13.1084573643008	-0.005723905723906908
RPL18	12.1847428374558	-0.005723905723906908
HEXIM1	12.9891643247301	-0.005723905723906908
PLK3	8.1741563273747	0.012794612794611637
JUN	12.1121030107426	-0.005723905723906908
PMM1	10.8842470850625	0.012794612794611637
GADD45A	9.96670161687226	0.012794612794611637
CDKN2A	21.6734740079196	0.012794612794611582
PLK2	11.7846054408858	-0.0030044712881544533
BLCAP	11.8272583859827	-0.005723905723906908
DEF6	23.5902636642245	0.012794612794611582
BAX	11.0596692681899	0.012794612794611637
TNFSF9	12.5065358129468	-0.005723905723906908
CDK5R1	12.2999108228585	-0.005723905723906908
RAD9A	0.235932859949313	0.012794612794611637
