TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
ELK1,ELK1,MA0028.2,12.1197,1.4365500000000001e-34,0.842387,0.805366,0.0703105,392.0,False,1.1406207e-31
ELK3,ELK3,MA0759.1,11.907,1.9693e-33,0.860882,0.827514,0.0642058,392.0,False,7.818121e-31
FLI1,FLI1,MA0475.2,11.8309,5.08355e-33,0.861446,0.82927,0.0615353,392.0,False,1.3454462333333335e-30
FEV,FEV,MA0156.2,11.7859,8.90956e-33,0.871973,0.840666,0.0595209,392.0,False,1.76854766e-30
ELK4,ELK4,MA0076.2,11.3355,1.95357e-30,0.884603,0.852902,0.0599838,392.0,False,2.6169975333333334e-28
ETS1,ETS1,MA0098.3,11.3314,1.97758e-30,0.875914,0.846278,0.0573059,392.0,False,2.6169975333333334e-28
ERG,ERG,MA0474.2,11.1198,2.1808000000000002e-29,0.87719,0.84857,0.0572418,392.0,False,2.473650285714286e-27
ERF,ERF,MA0760.1,10.8492,4.46554e-28,0.858974,0.83128,0.0573493,392.0,False,4.43204845e-26
ETS2,ETS2,MA1484.1,10.6872,2.7121399999999998e-27,0.876583,0.848397,0.0585045,392.0,False,2.392710177777778e-25
ZBTB7A,ZBTB7A,MA0750.2,10.2115,4.94117e-25,0.860033,0.829929,0.0593796,392.0,False,3.9232889799999994e-23
ETV3,ETV3,MA0763.1,10.1205,1.0630200000000002e-24,0.860656,0.835857,0.0565041,392.0,False,7.673071636363638e-23
ETV5,ETV5,MA0765.2,9.86049,1.63406e-23,0.880677,0.853063,0.0612572,392.0,False,1.0812030333333333e-21
ELF2,ELF2,MA1483.1,9.51961,4.6234899999999995e-22,0.815335,0.790052,0.0598908,392.0,False,2.8238854307692305e-20
ETV2,ETV2,MA0762.1,9.43889,1.01303e-21,0.828984,0.805106,0.0570323,392.0,False,5.745327285714285e-20
ETV6,ETV6,MA0645.1,8.9729,8.528019999999999e-20,0.875776,0.851358,0.0594535,392.0,False,4.514165253333332e-18
ELF4,ELF4,MA0641.1,8.68024,1.16237e-18,0.80331,0.779983,0.0608313,392.0,False,5.768261125e-17
NRF1,NRF1,MA0506.1,8.22636,7.08181e-17,0.873717,0.844252,0.0654392,392.0,False,3.307621847058823e-15
ZBTB33,ZBTB33,MA0527.1,7.97976,5.21145e-16,0.794686,0.772676,0.0545083,392.0,True,2.2988285e-14
HINFP,HINFP,MA0131.2,7.88086,1.30863e-15,0.841924,0.819262,0.0459249,392.0,False,5.468695894736842e-14
ZBTB14,ZBTB14,MA1650.1,7.734,4.31001e-15,0.849286,0.820331,0.0569872,392.0,False,1.71107397e-13
YY2,YY2,MA0748.2,7.63043,8.60981e-15,0.846069,0.821895,0.0620209,392.0,False,3.2553281619047623e-13
EGR3,EGR3,MA0732.1,7.50419,2.44213e-14,0.804552,0.780667,0.0555497,392.0,False,8.813869181818182e-13
Gmeb1,Gmeb1,MA0615.1,7.48422,2.86726e-14,0.833829,0.817285,0.038002,392.0,False,9.898280173913042e-13
KLF15,KLF15,MA1513.1,7.36399,7.57199e-14,0.897341,0.860109,0.0751486,392.0,False,2.5050666916666667e-12
EGR2,EGR2,MA0472.2,7.1492,3.47836e-13,0.828056,0.808129,0.0500795,392.0,False,1.1047271360000001e-11
Atf1,Atf1,MA0604.1,7.06931,5.50401e-13,0.859458,0.839285,0.0639674,392.0,False,1.6345107555555554e-11
TCFL5,TCFL5,MA0632.2,7.08974,5.55816e-13,0.859596,0.835763,0.0556784,392.0,False,1.6345107555555554e-11
SP9,SP9,MA1564.1,7.05084,7.45947e-13,0.88868,0.865208,0.0533781,392.0,False,2.115292564285714e-11
E2F1,E2F1,MA0024.3,7.02527,8.36478e-13,0.786397,0.7698,0.0448199,392.0,False,2.290219075862069e-11
E2F2,E2F2,MA0864.2,6.88421,2.25643e-12,0.77091,0.755513,0.0439947,392.0,False,5.972018066666666e-11
SP2,SP2,MA0516.2,6.86975,2.59631e-12,0.808393,0.78945,0.0500289,392.0,False,6.649903677419354e-11
SP3,SP3,MA0746.2,6.8008,4.37884e-12,0.875206,0.852593,0.0546941,392.0,False,1.0864996750000002e-10
KLF14,KLF14,MA0740.1,6.54088,2.57584e-11,0.83758,0.818128,0.0507088,392.0,False,5.948511885714286e-10
ARNT,ARNT::HIF1A,MA0259.1,6.53751,2.62214e-11,0.910506,0.890666,0.0524727,392.0,False,5.948511885714286e-10
HIF1A,ARNT::HIF1A,MA0259.1,6.53751,2.62214e-11,0.910506,0.890666,0.0524727,392.0,False,5.948511885714286e-10
TFDP1,TFDP1,MA1122.1,6.46894,4.3065e-11,0.871324,0.849665,0.0514249,392.0,False,9.498225000000001e-10
EGR1,EGR1,MA0162.4,6.41349,6.06963e-11,0.835298,0.812172,0.0602253,392.0,True,1.3025097891891893e-09
KLF2,KLF2,MA1515.1,6.39125,7.12806e-11,0.914405,0.894352,0.050034,392.0,False,1.4893893789473683e-09
HES1,HES1,MA1099.2,6.34963,9.14973e-11,0.873571,0.85239,0.057437,392.0,False,1.8627911846153847e-09
E2F4,E2F4,MA0470.2,6.329,9.97321e-11,0.761752,0.747338,0.0446242,392.0,False,1.9508773658536586e-09
SP4,SP4,MA0685.1,6.33292,1.00738e-10,0.811768,0.791926,0.056047,392.0,False,1.9508773658536586e-09
SP1,SP1,MA0079.4,6.31512,1.1288e-10,0.833035,0.812589,0.0583122,392.0,True,2.133969523809524e-09
HES2,HES2,MA0616.2,6.20702,2.28764e-10,0.82758,0.807232,0.0578206,392.0,False,4.224153860465116e-09
KLF6,KLF6,MA1517.1,6.15415,3.25943e-10,0.898364,0.880258,0.0492277,392.0,False,5.881789590909091e-09
EGR4,EGR4,MA0733.1,6.06469,5.64431e-10,0.795721,0.780201,0.0450793,392.0,False,9.959071422222222e-09
SPDEF,SPDEF,MA0686.1,5.99831,8.06576e-10,0.816155,0.801715,0.0495817,392.0,False,1.3922203130434781e-08
ELF5,ELF5,MA0136.2,5.96253,9.76062e-10,0.878032,0.864397,0.0504678,392.0,False,1.648921761702128e-08
KLF3,KLF3,MA1516.1,5.78382,3.21086e-09,0.864081,0.846119,0.0516871,392.0,False,5.311297583333333e-08
KLF11,KLF11,MA1512.1,5.49748,1.71641e-08,0.882332,0.865068,0.0520218,392.0,False,2.781284775510204e-07
KLF5,KLF5,MA0599.1,5.47379,1.96754e-08,0.944574,0.92756,0.0511423,392.0,False,3.12445352e-07
Ahr,Ahr::Arnt,MA0006.1,5.34898,3.82015e-08,0.930897,0.913397,0.0626652,392.0,False,5.833075192307693e-07
Arnt,Ahr::Arnt,MA0006.1,5.34898,3.82015e-08,0.930897,0.913397,0.0626652,392.0,False,5.833075192307693e-07
TFAP2E,TFAP2E,MA1569.1,5.34067,4.20533e-08,0.893468,0.876258,0.0501609,392.0,False,6.300060415094341e-07
CREB3L4,CREB3L4,MA1474.1,5.13617,1.22891e-07,0.8072,0.795119,0.0444554,392.0,False,1.806952851851852e-06
HEY1,HEY1,MA0823.1,5.11492,1.40015e-07,0.821878,0.805772,0.0556258,392.0,False,2.0213074545454542e-06
