"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471",NA,"C[C@@H](O)[C@H](O)C(O)=O","1"
"kynurenine","Kynurenine","HMDB0000684","161166","C00328","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"3-methylglutaconate","3-Methylglutaconic acid","HMDB0000522","1551553",NA,"C\C(CC(O)=O)=C/C(O)=O","1"
"2-hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","440864","C05984","CC[C@H](O)C(O)=O","1"
"tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"N-(3-acetamidopropyl)pyrrolidin-2-one","N-(3-acetamidopropyl)pyrrolidin-2-one","HMDB0061384","129397",NA,"CC(=O)NCCCN1CCCC1=O","1"
"urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"kynurenate","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"alpha-hydroxyisovalerate","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(O)C(O)=O","1"
"leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"Stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"NA","Nalidixic Acid","HMDB0014917","4421","C05079","CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2","1"
