Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_ANGIOGENESIS	9	0.0016	0.01	0.0304	0.0418	0.44436054482423076	7.673378408808416
HALLMARK_NOTCH_SIGNALING	10	0.3	0.4166666666666667	0.1	0.11000000000000001	0.3963193577211882	13.157306323938357
HALLMARK_HEDGEHOG_SIGNALING	11	0.9	0.9375000000000001	0.1	0.11000000000000001	0.3833798860794381	10.677094921525335
HALLMARK_APICAL_SURFACE	13	0.2	0.3125	0.7	0.7	0.033020599007024413	11.828077189426264
HALLMARK_WNT_BETA_CATENIN_SIGNALING	13	0.3	0.4166666666666667	0.0068	0.01518	0.4718274508170536	10.696038173474044
HALLMARK_TGF_BETA_SIGNALING	14	0.4	0.5	0.0158	0.028966666666666672	0.2593337314380489	11.680227398687226
HALLMARK_IL6_JAK_STAT3_SIGNALING	15	0.8	0.8695652173913043	0.0069	0.01518	0.3655047225700464	12.798903491114107
HALLMARK_PANCREAS_BETA_CELLS	15	1.0	1.0	0.0203	0.0319	0.3151062131324385	11.603356692317249
HALLMARK_INTERFERON_ALPHA_RESPONSE	19	0.9	0.9375000000000001	7.0E-4	0.0025666666666666667	0.44560342440570544	11.52174973133899
HALLMARK_CHOLESTEROL_HOMEOSTASIS	26	0.1	0.17857142857142858	0.0	0.0	0.6857028583791871	12.80453511407995
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	30	0.0035	0.017499999999999998	0.0	0.0	0.8286268630322776	11.881614828495307
HALLMARK_ANDROGEN_RESPONSE	30	0.0319	0.07974999999999999	0.0	0.0	0.5537085737613505	12.479046595685812
HALLMARK_SPERMATOGENESIS	31	0.0229	0.06361111111111112	0.0592	0.07235555555555555	0.1530330404542579	13.787026182697165
HALLMARK_MYC_TARGETS_V2	31	7.0E-4	0.005833333333333334	0.0	0.0	0.8967017904456372	11.4277281587362
HALLMARK_PEROXISOME	31	0.2821	0.4148529411764706	0.0	0.0	0.391884199575402	12.458358972277834
HALLMARK_BILE_ACID_METABOLISM	32	0.8	0.8695652173913043	0.0	0.0	0.2312316173153461	13.450228500368581
HALLMARK_PROTEIN_SECRETION	33	1.0E-4	0.00125	0.0	0.0	0.9216086962105007	11.913306138952782
HALLMARK_PI3K_AKT_MTOR_SIGNALING	34	0.5	0.5952380952380952	0.0	0.0	0.5266137673982594	12.06408726952075
HALLMARK_INFLAMMATORY_RESPONSE	35	0.2	0.3125	1.0E-4	5.5E-4	0.3135373525806559	11.940639532700574
HALLMARK_COAGULATION	38	0.3	0.4166666666666667	0.0	0.0	0.49325303011800453	11.587143286190582
HALLMARK_INTERFERON_GAMMA_RESPONSE	40	0.1	0.17857142857142858	0.0	0.0	0.4257016037919788	12.58987435555567
HALLMARK_ALLOGRAFT_REJECTION	42	0.6	0.6818181818181818	0.0	0.0	0.3222991634131993	11.741693513978703
