"List","Num_genes"
"TMM name","../normed_counts/PseudobulkAllCell_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","3542"
"CTL_cyclers_AR33BHQ1","762"
"AD_cyclers_AR20BHQ1","3520"
"AD_cyclers_AR33BHQ1","855"
"AD_CTL_mthd2_cyclers_AR20BHQ1","4464"
"DR_cyclers_AR1BHQ3","804"
"DR_cyclers_AR20BHQ3","693"
"DR_cyclers_AR33BHQ3","253"
"DR_cyclers_mthd2_AR1_DRBHQ3","813"
"DR_cyclers_mthd2_AR20_DRBHQ3","704"
"DR_lostAmpAD_AR1BHQ3","662"
"DR_lostAmpAD_AR20BHQ3","534"
"DR_lostAmpAD_AR33BHQ3","153"
"DR_mthd2_lostAmpAD_AR1BHQ3","664"
"DR_mthd2_lostAmpAD_AR20BHQ3","536"
"DR_gainAmpAD_AR1BHQ3","142"
"DR_gainAmpAD_AR20BHQ3","159"
"DR_gainAmpAD_AR33BHQ3","100"
"DR_mthd2_gainAmpAD_AR1BHQ3","149"
"DR_mthd2_gainAmpAD_AR20BHQ3","168"
