Item ID	Item value	Change in Kuiper test statistic when item removed
FEN1	-0.293943827923306	8.881784197001252E-16
BTG2	0.463019030133247	8.881784197001252E-16
BTG1	0.253291071740831	8.881784197001252E-16
AMD1	0.0967429153235098	8.881784197001252E-16
CLTB	1.29685925015067	8.881784197001252E-16
ENO2	0.504477046934137	8.881784197001252E-16
SPR	-0.269663957799634	8.881784197001252E-16
UROD	0.61868763327523	8.881784197001252E-16
HYAL2	0.705471532088548	8.881784197001252E-16
BSG	0.90944716311305	8.881784197001252E-16
PRKACA	0.268882958672063	8.881784197001252E-16
JUNB	1.22820461213483	8.881784197001252E-16
GPX3	1.12664113658931	8.881784197001252E-16
IGFBP2	0.867338160796408	8.881784197001252E-16
SIGMAR1	0.0551820740638759	8.881784197001252E-16
PRKCD	-0.0864084464067792	8.881784197001252E-16
TAP1	0.457051836684504	8.881784197001252E-16
FOS	3.0676099685083	8.881784197001252E-16
HLA-F	-3.16886399029515	8.881784197001252E-16
MAPK8IP2	1.03476469857647	8.881784197001252E-16
TUBA4A	0.362092424466197	8.881784197001252E-16
RHOB	-0.11843804289221	8.881784197001252E-16
OLFM1	0.812483611470809	8.881784197001252E-16
CDC34	1.02093941157596	8.881784197001252E-16
SELENOW	0.246002427445552	8.881784197001252E-16
PPIF	0.479091377206107	8.881784197001252E-16
TYRO3	0.644657953213357	8.881784197001252E-16
TMBIM6	0.631710385699907	8.881784197001252E-16
ALDOA	-0.0294768367550604	8.881784197001252E-16
NPTXR	0.94427335194633	8.881784197001252E-16
IL6ST	0.599810245379382	8.881784197001252E-16
FKBP4	0.194232823304161	8.881784197001252E-16
SLC25A4	0.641412950238326	8.881784197001252E-16
SQSTM1	0.162593269460725	8.881784197001252E-16
ABCB1	-0.904179920196318	8.881784197001252E-16
CNP	-0.151129812483536	8.881784197001252E-16
RPN1	0.977425269410394	8.881784197001252E-16
DDX21	0.202278595771576	8.881784197001252E-16
FURIN	0.201314250502313	8.881784197001252E-16
CLCN2	0.0387734158994561	8.881784197001252E-16
HSPA13	0.204390284079167	8.881784197001252E-16
RXRB	0.0554414954139058	8.881784197001252E-16
CYB5R1	0.158443724085801	8.881784197001252E-16
DNAJB1	-0.539700149251567	8.881784197001252E-16
STIP1	0.149802967464034	8.881784197001252E-16
BCL2L11	0.746122313036918	8.881784197001252E-16
GRPEL1	0.65619622641466	8.881784197001252E-16
EPCAM	1.57604832127491	8.881784197001252E-16
AP2S1	0.940721297297703	8.881784197001252E-16
MSX1	-19.0923045228609	8.881784197001252E-16
BID	-0.427602615289361	8.881784197001252E-16
NPTX2	0.603429999819096	8.881784197001252E-16
YKT6	0.828675236644632	8.881784197001252E-16
ATP6V1C1	0.0308773294576297	8.881784197001252E-16
ATP6V1F	0.640728971688546	8.881784197001252E-16
KLHDC3	0.367444808891386	8.881784197001252E-16
GCH1	0.60930489361388	8.881784197001252E-16
PLCL1	-0.0811287513022919	8.881784197001252E-16
RAB27A	0.28266898524986	8.881784197001252E-16
PDAP1	0.287371112804927	8.881784197001252E-16
CCK	0.945271051547065	8.881784197001252E-16
SOD2	0.177139518730572	8.881784197001252E-16
MRPL23	2.07232176684453	8.881784197001252E-16
NFKBIA	-0.0922179031849075	8.881784197001252E-16
DNAJA1	0.564997357048175	8.881784197001252E-16
PTPRD	0.0896889621368158	8.881784197001252E-16
NR4A1	0.372047446397911	8.881784197001252E-16
SLC6A8	0.496996914171288	8.881784197001252E-16
EIF2S3	0.923925835244699	8.881784197001252E-16
EIF5	0.427366260626351	8.881784197001252E-16
PSMC3	1.22778405217189	8.881784197001252E-16
STK25	0.0469907259244554	8.881784197001252E-16
DLG4	0.961748297156324	8.881784197001252E-16
POLE3	-0.0855405194778785	8.881784197001252E-16
PPT1	0.367991401408361	8.881784197001252E-16
FOSB	-0.502349718492417	8.881784197001252E-16
GRINA	0.318795149298593	8.881784197001252E-16
