NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	84	-0.33039474	---	---	1.0	0.0	3169	tags=95%, list=49%, signal=183%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	11	-0.44224268	-1.3908546	0.051829267	0.28231168	0.2097	3643	tags=100%, list=56%, signal=226%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	12	-0.3874635	-1.2507747	0.11111111	0.4014809	0.4002	4000	tags=100%, list=61%, signal=258%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	16	-0.2959262	-1.0643331	0.34513274	0.7487	0.7239	4597	tags=100%, list=70%, signal=338%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	5	-0.43661755	-1.007578	0.4176737	0.7666959	0.8083	3677	tags=100%, list=56%, signal=229%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	Details ...	7	-0.3744243	-0.9989276	0.4389952	0.66223204	0.819	4083	tags=100%, list=63%, signal=267%	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	Details ...	6	-0.34781274	-0.8641857	0.69382274	0.9021823	0.9337	4256	tags=100%, list=65%, signal=288%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	Details ...	7	-0.31731653	-0.848979	0.7166455	0.8205369	0.9403	4455	tags=100%, list=68%, signal=315%	
KEGG_NON_HOMOLOGOUS_END_JOINING	KEGG_NON_HOMOLOGOUS_END_JOINING	Details ...	5	-0.32243708	-0.7401044	0.8839907	0.8988929	0.9693	4421	tags=100%, list=68%, signal=310%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Details ...	11	-0.1969278	-0.6281388	0.975976	0.8852044	0.9783	5240	tags=100%, list=80%, signal=508%	
