NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	2522	0.4561348855495453	-0.17256041	Yes	
row_1	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	2826	0.40208688378334045	-0.029672388	Yes	
row_2	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3532	0.29680952429771423	0.0018546941	Yes	
row_3	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	3827	0.258796364068985	0.07861562	Yes	
row_4	HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	3854	0.253959059715271	0.19427127	Yes	
row_5	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	5207	0.1063803881406784	0.03667885	No	
row_6	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	5317	0.09619401395320892	0.06525359	No	
row_7	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	5442	0.08619224280118942	0.08681161	No	
row_8	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	5730	0.060925159603357315	0.071423054	No	
row_9	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	5755	0.05869017541408539	0.0953871	No	
row_10	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	6200	0.028227487578988075	0.04047294	No	
row_11	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	6312	0.01811804622411728	0.031955753	No	
