"List","Num_genes"
"TMM name","/Users/henryhollis/Box Sync/Henry_stuff/AD_project/human_data/Cyclops_folders/tmms/scROSMAP/cogdx_controls/EdgeR_filt_normed/InhNeurons_2_8_11_12_13_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR25BHQ1","593"
"CTL_cyclers_AR33BHQ1","179"
"AD_cyclers_AR25BHQ1","456"
"AD_cyclers_AR33BHQ1","170"
"AD_CTL_mthd2_cyclers_AR25BHQ1","752"
"DR_cyclers_AR1BHQ2","580"
"DR_cyclers_AR25BHQ2","300"
"DR_cyclers_AR33BHQ2","70"
"DR_cyclers_mthd2_AR1_DRBHQ2","582"
"DR_cyclers_mthd2_AR25_DRBHQ2","300"
"DR_lostAmpAD_AR1BHQ2","457"
"DR_lostAmpAD_AR25BHQ2","261"
"DR_lostAmpAD_AR33BHQ2","56"
"DR_mthd2_lostAmpAD_AR1BHQ2","453"
"DR_mthd2_lostAmpAD_AR25BHQ2","260"
"DR_gainAmpAD_AR1BHQ2","123"
"DR_gainAmpAD_AR25BHQ2","39"
"DR_gainAmpAD_AR33BHQ2","14"
"DR_mthd2_gainAmpAD_AR1BHQ2","129"
"DR_mthd2_gainAmpAD_AR25BHQ2","40"
