"Ensembl","Gene_Symbols"
"ENSG00000244405","ETV5"
"ENSG00000164512","ANKRD55"
"ENSG00000148082","SHC3"
"ENSG00000198369","SPRED2"
"ENSG00000187678","SPRY4"
"ENSG00000171314","PGAM1"
"ENSG00000171130","ATP6V0E2"
"ENSG00000054803","CBLN4"
"ENSG00000182013","PNMA8A"
"ENSG00000120875","DUSP4"
"ENSG00000128683","GAD1"
"ENSG00000111897","SERINC1"
"ENSG00000157193","LRP8"
"ENSG00000166068","SPRED1"
"ENSG00000115963","RND3"
"ENSG00000205581","HMGN1"
"ENSG00000176907","TCIM"
"ENSG00000163888","CAMK2N2"
"ENSG00000128564","VGF"
"ENSG00000132326","PER2"
"ENSG00000147571","CRH"
"ENSG00000101438","SLC32A1"
"ENSG00000188042","ARL4C"
"ENSG00000035862","TIMP2"
"ENSG00000182220","ATP6AP2"
"ENSG00000175130","MARCKSL1"
"ENSG00000169255","B3GALNT1"
"ENSG00000144567","RETREG2"
"ENSG00000154096","THY1"
"ENSG00000168824","NSG1"
"ENSG00000170160","CCDC144A"
"ENSG00000152291","TGOLN2"
"ENSG00000116455","WDR77"
"ENSG00000086598","TMED2"
"ENSG00000103502","CDIPT"
"ENSG00000240694","PNMA2"
"ENSG00000103769","RAB11A"
"ENSG00000138759","FRAS1"
"ENSG00000184009","ACTG1"
"ENSG00000071553","ATP6AP1"
"ENSG00000100784","RPS6KA5"
"ENSG00000140557","ST8SIA2"
"ENSG00000136099","PCDH8"
"ENSG00000176749","CDK5R1"
"ENSG00000072422","RHOBTB1"
"ENSG00000177432","NAP1L5"
"ENSG00000165572","KBTBD6"
"ENSG00000162520","SYNC"
"ENSG00000101856","PGRMC1"
"ENSG00000153012","LGI2"
"ENSG00000281344","HELLPAR"
"ENSG00000071575","TRIB2"
"ENSG00000165943","MOAP1"
"ENSG00000177875","CCDC184"
"ENSG00000136003","ISCU"
"ENSG00000117009","KMO"
"ENSG00000083857","FAT1"
"ENSG00000213626","LBH"
"ENSG00000171951","SCG2"
"ENSG00000138741","TRPC3"
"ENSG00000147224","PRPS1"
"ENSG00000136206","SPDYE1"
"ENSG00000172878","METAP1D"
"ENSG00000125869","LAMP5"
"ENSG00000154736","ADAMTS5"
