"List","Num_genes"
"TMM name","../normed_counts/ExcSubtypes3and5_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR20BHQ1","5206"
"CTL_cyclers_AR33BHQ1","1678"
"AD_cyclers_AR20BHQ1","5402"
"AD_cyclers_AR33BHQ1","2036"
"AD_CTL_mthd2_cyclers_AR20BHQ1","6116"
"DR_cyclers_AR1BHQ3","228"
"DR_cyclers_AR20BHQ3","416"
"DR_cyclers_AR33BHQ3","463"
"DR_cyclers_mthd2_AR1_DRBHQ3","230"
"DR_cyclers_mthd2_AR20_DRBHQ3","409"
"DR_lostAmpAD_AR1BHQ3","169"
"DR_lostAmpAD_AR20BHQ3","286"
"DR_lostAmpAD_AR33BHQ3","348"
"DR_mthd2_lostAmpAD_AR1BHQ3","169"
"DR_mthd2_lostAmpAD_AR20BHQ3","283"
"DR_gainAmpAD_AR1BHQ3","59"
"DR_gainAmpAD_AR20BHQ3","130"
"DR_gainAmpAD_AR33BHQ3","115"
"DR_mthd2_gainAmpAD_AR1BHQ3","61"
"DR_mthd2_gainAmpAD_AR20BHQ3","126"
