"List","Num_genes"
"TMM name","../normed_counts/ALL_Exc_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","4218"
"CTL_cyclers_AR33BHQ1","1124"
"AD_cyclers_AR20BHQ1","4105"
"AD_cyclers_AR33BHQ1","1007"
"AD_CTL_mthd2_cyclers_AR20BHQ1","5019"
"DR_cyclers_AR1BHQ3","403"
"DR_cyclers_AR20BHQ3","594"
"DR_cyclers_AR33BHQ3","434"
"DR_cyclers_mthd2_AR1_DRBHQ3","405"
"DR_cyclers_mthd2_AR20_DRBHQ3","594"
"DR_lostAmpAD_AR1BHQ3","359"
"DR_lostAmpAD_AR20BHQ3","509"
"DR_lostAmpAD_AR33BHQ3","369"
"DR_mthd2_lostAmpAD_AR1BHQ3","359"
"DR_mthd2_lostAmpAD_AR20BHQ3","508"
"DR_gainAmpAD_AR1BHQ3","44"
"DR_gainAmpAD_AR20BHQ3","85"
"DR_gainAmpAD_AR33BHQ3","65"
"DR_mthd2_gainAmpAD_AR1BHQ3","46"
"DR_mthd2_gainAmpAD_AR20BHQ3","86"
