"Ensembl","Gene_Symbols"
"ENSG00000187773","DIPK1C"
"ENSG00000100276","RASL10A"
"ENSG00000163682","RPL9"
"ENSG00000143947","RPS27A"
"ENSG00000229117","RPL41"
"ENSG00000136297","MMD2"
"ENSG00000231500","RPS18"
"ENSG00000167526","RPL13"
"ENSG00000205542","TMSB4X"
"ENSG00000174748","RPL15"
"ENSG00000198755","RPL10A"
"ENSG00000148303","RPL7A"
"ENSG00000149806","FAU"
"ENSG00000161970","RPL26"
"ENSG00000132639","SNAP25"
"ENSG00000034510","TMSB10"
"ENSG00000151474","FRMD4A"
"ENSG00000050438","SLC4A8"
"ENSG00000164587","RPS14"
"ENSG00000134419","RPS15A"
"ENSG00000112306","RPS12"
"ENSG00000185950","IRS2"
"ENSG00000100316","RPL3"
"ENSG00000265681","RPL17"
"ENSG00000128245","YWHAH"
"ENSG00000166681","BEX3"
"ENSG00000147403","RPL10"
"ENSG00000145425","RPS3A"
"ENSG00000147604","RPL7"
"ENSG00000233927","RPS28"
"ENSG00000161016","RPL8"
"ENSG00000089009","RPL6"
"ENSG00000136942","RPL35"
"ENSG00000166441","RPL27A"
"ENSG00000182575","NXPH3"
"ENSG00000106153","CHCHD2"
"ENSG00000122026","RPL21"
"ENSG00000117152","RGS4"
"ENSG00000140988","RPS2"
"ENSG00000105372","RPS19"
"ENSG00000105193","RPS16"
"ENSG00000176340","COX8A"
"ENSG00000198242","RPL23A"
"ENSG00000063177","RPL18"
"ENSG00000115268","RPS15"
"ENSG00000197756","RPL37A"
"ENSG00000250479","CHCHD10"
"ENSG00000197168","NEK5"
"ENSG00000115944","COX7A2L"
"ENSG00000114784","EIF1B"
"ENSG00000170027","YWHAG"
"ENSG00000171314","PGAM1"
"ENSG00000188846","RPL14"
"ENSG00000131143","COX4I1"
"ENSG00000168028","RPSA"
"ENSG00000162244","RPL29"
"ENSG00000109475","RPL34"
"ENSG00000181938","GINS3"
"ENSG00000149273","RPS3"
"ENSG00000124614","RPS10"
"ENSG00000245532","NEAT1"
"ENSG00000188064","WNT7B"
"ENSG00000184524","CEND1"
"ENSG00000105640","RPL18A"
"ENSG00000108298","RPL19"
"ENSG00000104904","OAZ1"
"ENSG00000171863","RPS7"
"ENSG00000070087","PFN2"
"ENSG00000240694","PNMA2"
"ENSG00000177954","RPS27"
"ENSG00000170889","RPS9"
"ENSG00000211450","SELENOH"
"ENSG00000034677","RNF19A"
"ENSG00000142541","RPL13A"
"ENSG00000172247","C1QTNF4"
"ENSG00000137818","RPLP1"
"ENSG00000269893","SNHG8"
"ENSG00000166913","YWHAB"
"ENSG00000161281","COX7A1"
"ENSG00000152954","NRSN1"
"ENSG00000122406","RPL5"
"ENSG00000213190","MLLT11"
"ENSG00000083845","RPS5"
"ENSG00000175602","CCDC85B"
"ENSG00000176788","BASP1"
"ENSG00000198034","RPS4X"
"ENSG00000110700","RPS13"
"ENSG00000196683","TOMM7"
"ENSG00000130255","RPL36"
"ENSG00000197921","HES5"
"ENSG00000241360","PDXP"
"ENSG00000137154","RPS6"
"ENSG00000142937","RPS8"
"ENSG00000131469","RPL27"
"ENSG00000103363","ELOB"
"ENSG00000163032","VSNL1"
"ENSG00000162105","SHANK2"
"ENSG00000176903","PNMA1"
"ENSG00000186468","RPS23"
"ENSG00000174444","RPL4"
"ENSG00000213760","ATP6V1G2"
"ENSG00000062096","ARSF"
"ENSG00000214253","FIS1"
"ENSG00000114391","RPL24"
"ENSG00000179010","MRFAP1"
"ENSG00000172757","CFL1"
"ENSG00000112695","COX7A2"
"ENSG00000244187","TMEM141"
"ENSG00000067082","KLF6"
"ENSG00000102409","BEX4"
"ENSG00000144713","RPL32"
"ENSG00000169567","HINT1"
"ENSG00000133069","TMCC2"
"ENSG00000099977","DDT"
"ENSG00000137100","DCTN3"
"ENSG00000197728","RPS26"
"ENSG00000139970","RTN1"
"ENSG00000171858","RPS21"
"ENSG00000138193","PLCE1"
"ENSG00000120162","MOB3B"
"ENSG00000052802","MSMO1"
"ENSG00000169021","UQCRFS1"
"ENSG00000255302","EID1"
"ENSG00000114942","EEF1B2"
"ENSG00000136003","ISCU"
"ENSG00000156411","ATP5MPL"
"ENSG00000198918","RPL39"
"ENSG00000173726","TOMM20"
"ENSG00000182899","RPL35A"
"ENSG00000196739","COL27A1"
"ENSG00000052126","PLEKHA5"
"ENSG00000171385","KCND3"
"ENSG00000172809","RPL38"
"ENSG00000232956","SNHG15"
"ENSG00000108479","GALK1"
"ENSG00000169242","EFNA1"
"ENSG00000134755","DSC2"
"ENSG00000160014","CALM3"
"ENSG00000183172","SMDT1"
"ENSG00000186628","FSD2"
"ENSG00000130748","TMEM160"
"ENSG00000124785","NRN1"
"ENSG00000221983","UBA52"
"ENSG00000221869","CEBPD"
"ENSG00000189043","NDUFA4"
"ENSG00000189241","TSPYL1"
"ENSG00000112539","C6orf118"
"ENSG00000131100","ATP6V1E1"
"ENSG00000125868","DSTN"
"ENSG00000183011","NAA38"
"ENSG00000131981","LGALS3"
"ENSG00000173660","UQCRH"
"ENSG00000139112","GABARAPL1"
"ENSG00000174521","TTC9B"
"ENSG00000101460","MAP1LC3A"
"ENSG00000183036","PCP4"
"ENSG00000105258","POLR2I"
"ENSG00000188039","NWD1"
"ENSG00000178878","APOLD1"
"ENSG00000267855","NDUFA7"
"ENSG00000154518","ATP5MC3"
"ENSG00000277586","NEFL"
"ENSG00000135926","TMBIM1"
"ENSG00000230561","CCDC192"
"ENSG00000163584","RPL22L1"
"ENSG00000134375","TIMM17A"
"ENSG00000240972","MIF"
"ENSG00000152082","MZT2B"
"ENSG00000111775","COX6A1"
"ENSG00000111669","TPI1"
"ENSG00000111678","C12orf57"
"ENSG00000130208","APOC1"
"ENSG00000139178","C1RL"
"ENSG00000133134","BEX2"
"ENSG00000042753","AP2S1"
"ENSG00000188186","LAMTOR4"
"ENSG00000182013","PNMA8A"
"ENSG00000154096","THY1"
"ENSG00000171222","SCAND1"
"ENSG00000113916","BCL6"
"ENSG00000197956","S100A6"
"ENSG00000100138","SNU13"
"ENSG00000133687","TMTC1"
"ENSG00000126524","SBDS"
"ENSG00000135940","COX5B"
"ENSG00000184515","BEX5"
"ENSG00000143153","ATP1B1"
"ENSG00000145592","RPL37"
"ENSG00000253438","PCAT1"
"ENSG00000014641","MDH1"
"ENSG00000196262","PPIA"
"ENSG00000136950","ARPC5L"
"ENSG00000148154","UGCG"
"ENSG00000116133","DHCR24"
"ENSG00000163145","C1QTNF7"
"ENSG00000108551","RASD1"
"ENSG00000243678","NME2"
"ENSG00000183978","COA3"
"ENSG00000152822","GRM1"
"ENSG00000120913","PDLIM2"
"ENSG00000131095","GFAP"
"ENSG00000117632","STMN1"
"ENSG00000147416","ATP6V1B2"
"ENSG00000169230","PRELID1"
"ENSG00000168993","CPLX1"
"ENSG00000157110","RBPMS"
"ENSG00000171159","C9orf16"
"ENSG00000077264","PAK3"
"ENSG00000064270","ATP2C2"
"ENSG00000159199","ATP5MC1"
"ENSG00000102362","SYTL4"
"ENSG00000180822","PSMG4"
"ENSG00000156482","RPL30"
"ENSG00000105711","SCN1B"
"ENSG00000134222","PSRC1"
"ENSG00000073849","ST6GAL1"
"ENSG00000198258","UBL5"
"ENSG00000182541","LIMK2"
"ENSG00000126432","PRDX5"
"ENSG00000130770","ATP5IF1"
"ENSG00000187672","ERC2"
"ENSG00000166974","MAPRE2"
"ENSG00000182916","TCEAL7"
"ENSG00000145912","NHP2"
"ENSG00000162188","GNG3"
"ENSG00000131724","IL13RA1"
"ENSG00000188290","HES4"
"ENSG00000244274","DBNDD2"
"ENSG00000177700","POLR2L"
"ENSG00000154146","NRGN"
"ENSG00000176046","NUPR1"
"ENSG00000260025","CRIM1-DT"
"ENSG00000107262","BAG1"
"ENSG00000145335","SNCA"
"ENSG00000158270","COLEC12"
"ENSG00000127311","HELB"
"ENSG00000078902","TOLLIP"
"ENSG00000198743","SLC5A3"
"ENSG00000104435","STMN2"
"ENSG00000239672","NME1"
"ENSG00000008988","RPS20"
"ENSG00000246705","H2AFJ"
"ENSG00000164032","H2AFZ"
"ENSG00000177706","FAM20C"
"ENSG00000145623","OSMR"
"ENSG00000116717","GADD45A"
"ENSG00000188483","IER5L"
"ENSG00000232838","PET117"
"ENSG00000100097","LGALS1"
"ENSG00000189159","JPT1"
"ENSG00000167641","PPP1R14A"
"ENSG00000097046","CDC7"
"ENSG00000169902","TPST1"
"ENSG00000106537","TSPAN13"
"ENSG00000171617","ENC1"
"ENSG00000115474","KCNJ13"
"ENSG00000172020","GAP43"
"ENSG00000004779","NDUFAB1"
"ENSG00000146233","CYP39A1"
"ENSG00000160183","TMPRSS3"
"ENSG00000283154","IQCJ-SCHIP1"
"ENSG00000125691","RPL23"
"ENSG00000115594","IL1R1"
"ENSG00000114204","SERPINI2"
"ENSG00000185869","ZNF829"
"ENSG00000147676","MAL2"
"ENSG00000124702","KLHDC3"
"ENSG00000147251","DOCK11"
"ENSG00000204653","ASPDH"
"ENSG00000188313","PLSCR1"
"ENSG00000128683","GAD1"
"ENSG00000123119","NECAB1"
"ENSG00000020577","SAMD4A"
"ENSG00000091592","NLRP1"
"ENSG00000215277","RNF212B"
"ENSG00000145945","FAM50B"
"ENSG00000254901","BORCS8"
"ENSG00000089356","FXYD3"
"ENSG00000154529","CNTNAP3B"
"ENSG00000133742","CA1"
"ENSG00000175606","TMEM70"
"ENSG00000147669","POLR2K"
"ENSG00000104979","C19orf53"
"ENSG00000204839","MROH6"
"ENSG00000128016","ZFP36"
"ENSG00000183196","CHST6"
"ENSG00000165507","DEPP1"
"ENSG00000165164","CFAP47"
"ENSG00000104635","SLC39A14"
"ENSG00000178449","COX14"
"ENSG00000173267","SNCG"
"ENSG00000131495","NDUFA2"
"ENSG00000118985","ELL2"
"ENSG00000118680","MYL12B"
"ENSG00000146701","MDH2"
"ENSG00000163947","ARHGEF3"
"ENSG00000139117","CPNE8"
"ENSG00000152467","ZSCAN1"
"ENSG00000142089","IFITM3"
"ENSG00000165943","MOAP1"
"ENSG00000130540","SULT4A1"
"ENSG00000152932","RAB3C"
"ENSG00000147481","SNTG1"
"ENSG00000154080","CHST9"
"ENSG00000161981","SNRNP25"
"ENSG00000102003","SYP"
"ENSG00000102109","PCSK1N"
"ENSG00000144834","TAGLN3"
"ENSG00000154153","RETREG1"
"ENSG00000149131","SERPING1"
"ENSG00000125356","NDUFA1"
"ENSG00000115350","POLE4"
"ENSG00000182774","RPS17"
"ENSG00000133169","BEX1"
"ENSG00000173113","TRMT112"
"ENSG00000264364","DYNLL2"
"ENSG00000164919","COX6C"
"ENSG00000113231","PDE8B"
"ENSG00000184557","SOCS3"
"ENSG00000108797","CNTNAP1"
"ENSG00000056998","GYG2"
"ENSG00000254166","CASC19"
"ENSG00000197457","STMN3"
"ENSG00000167642","SPINT2"
"ENSG00000116251","RPL22"
"ENSG00000142733","MAP3K6"
"ENSG00000170315","UBB"
"ENSG00000154127","UBASH3B"
"ENSG00000228474","OST4"
"ENSG00000151366","NDUFC2"
"ENSG00000065675","PRKCQ"
"ENSG00000169976","SF3B5"
"ENSG00000105707","HPN"
"ENSG00000149658","YTHDF1"
"ENSG00000117643","MAN1C1"
"ENSG00000106367","AP1S1"
"ENSG00000116983","HPCAL4"
"ENSG00000142168","SOD1"
"ENSG00000104419","NDRG1"
"ENSG00000128739","SNRPN"
"ENSG00000159733","ZFYVE28"
"ENSG00000184500","PROS1"
"ENSG00000175318","GRAMD2A"
"ENSG00000215045","GRID2IP"
"ENSG00000159216","RUNX1"
"ENSG00000186469","GNG2"
"ENSG00000157388","CACNA1D"
"ENSG00000060138","YBX3"
"ENSG00000182117","NOP10"
"ENSG00000026508","CD44"
"ENSG00000128524","ATP6V1F"
"ENSG00000106100","NOD1"
"ENSG00000184905","TCEAL2"
"ENSG00000131378","RFTN1"
"ENSG00000183617","MRPL54"
"ENSG00000174776","WDR49"
"ENSG00000135002","RFK"
"ENSG00000159403","C1R"
"ENSG00000240065","PSMB9"
"ENSG00000185774","KCNIP4"
"ENSG00000183715","OPCML"
"ENSG00000137968","SLC44A5"
"ENSG00000124507","PACSIN1"
"ENSG00000176749","CDK5R1"
"ENSG00000221963","APOL6"
"ENSG00000204065","TCEAL5"
"ENSG00000022355","GABRA1"
"ENSG00000165169","DYNLT3"
"ENSG00000086544","ITPKC"
"ENSG00000183117","CSMD1"
"ENSG00000100216","TOMM22"
"ENSG00000142684","ZNF593"
"ENSG00000221946","FXYD7"
"ENSG00000139083","ETV6"
"ENSG00000185352","HS6ST3"
"ENSG00000131831","RAI2"
"ENSG00000196136","SERPINA3"
"ENSG00000196353","CPNE4"
"ENSG00000131386","GALNT15"
"ENSG00000120549","KIAA1217"
"ENSG00000169504","CLIC4"
"ENSG00000086300","SNX10"
"ENSG00000186462","NAP1L2"
"ENSG00000204851","PNMA8B"
"ENSG00000172995","ARPP21"
"ENSG00000265972","TXNIP"
"ENSG00000135245","HILPDA"
"ENSG00000090339","ICAM1"
