Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_ANGIOGENESIS	9	0.2	0.3375	0.3	0.3	0.280125348447411	6.2056401603487705
HALLMARK_NOTCH_SIGNALING	10	0.2	0.3375	0.3	0.3	0.3320464020062442	11.320424384683898
HALLMARK_APICAL_SURFACE	12	0.1	0.2076923076923077	0.3	0.3	0.19430347369678053	21.83155702083597
HALLMARK_HEDGEHOG_SIGNALING	12	0.4	0.55485	0.1	0.1142857142857143	0.4507622689727576	9.110016855436758
HALLMARK_WNT_BETA_CATENIN_SIGNALING	12	0.6	0.7069304347826086	0.2	0.21333333333333335	0.32970236447208856	11.11017792660848
HALLMARK_TGF_BETA_SIGNALING	13	0.4	0.55485	7.0E-4	0.00224	0.37575798716755987	11.429026876384826
HALLMARK_PANCREAS_BETA_CELLS	13	0.1	0.2076923076923077	0.0061	0.0122	0.5141144495889636	12.507062293094023
HALLMARK_PROTEIN_SECRETION	14	0.0013	0.008775	0.0	0.0	0.7183804461844006	11.661902568149946
HALLMARK_IL6_JAK_STAT3_SIGNALING	16	0.1501	0.28872	0.2	0.21333333333333335	0.19486557450361486	14.289663396348065
HALLMARK_CHOLESTEROL_HOMEOSTASIS	16	0.411	0.55485	2.0E-4	0.0010666666666666667	0.6655266953820018	12.011817341720828
HALLMARK_PI3K_AKT_MTOR_SIGNALING	18	0.4	0.55485	0.0	0.0	0.579360020321832	12.112364762203164
HALLMARK_MITOTIC_SPINDLE	20	0.9	0.9	0.1	0.1142857142857143	0.2578940561427458	11.173634957907025
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	20	0.0143	0.038610000000000005	0.0	0.0	0.856457977068689	11.717424803897867
HALLMARK_BILE_ACID_METABOLISM	20	0.6022	0.7069304347826086	5.0E-4	0.002	0.44126541012019266	12.443853089378333
HALLMARK_PEROXISOME	22	0.4	0.55485	1.0E-4	8.0E-4	0.5074769721418438	11.75617373279282
HALLMARK_MYC_TARGETS_V2	23	0.0061	0.022275	0.0	0.0	0.9361035616137461	11.076973638795906
