Item ID	Item value	Change in Kuiper test statistic when item removed
FGF1	6.19720378637192	-0.0049019607843136526
ELK1	15.2448972727708	-0.004901960784313708
RPS6KA5	18.4081034287058	-0.004901960784313708
RPS6KA2	22.5957396598803	-0.004901960784313708
STMN1	10.857322763515	0.014705882352941235
RAC3	11.1287171587479	0.014705882352941235
CHP1	9.84808790385799	-0.004129072365877728
MAP3K8	23.0803560186791	-0.004901960784313708
RAC1	11.5016012044857	0.014705882352941235
HRAS	10.4622269291319	0.014705882352941235
DUSP4	6.12233316863989	-0.0049019607843136526
PRKCG	10.9214118129207	0.014705882352941235
DUSP5	8.94740233758186	-0.0049019607843136526
PDGFRA	21.9181917924164	-0.004901960784313708
DUSP2	10.2324379547251	0.006338525127275285
MAP2K1	11.6048682156481	0.014705882352941235
DUSP3	11.3315772371554	0.014705882352941235
DUSP1	8.71045657521629	-0.0049019607843136526
CACNA2D3	23.7065794242908	-0.004901960784313708
RRAS2	23.81523012396	-0.004901960784313708
FOS	5.80289886303823	-0.0049019607843136526
TGFBR1	21.9078129640543	-0.004901960784313708
DUSP6	6.68029883067283	-0.0049019607843136526
DUSP7	10.8171226369077	0.014705882352941235
DDIT3	11.7560919549638	0.014705882352941235
SOS1	22.3135981838348	-0.004901960784313708
ATF4	9.52401967834468	-0.0049019607843136526
CACNA1B	23.4247471837359	-0.004901960784313708
CACNA1A	0.182535789592262	-0.0049019607843136526
CACNA1C	23.6358551054661	-0.004901960784313708
RELB	6.74533389923556	-0.0049019607843136526
FLNB	23.5350590972127	-0.004901960784313708
CACNG2	0.495954955609495	-0.0049019607843136526
MAP2K5	22.9114112486434	-0.004901960784313708
MAPK3	12.4353448035031	0.007867500042000763
HSPA8	11.1842551363922	0.014705882352941235
JUN	12.5638348825147	0.007867500042000763
JUND	11.1519917166081	0.014705882352941235
MAP3K1	22.4940035792082	-0.004901960784313708
TGFB1	11.8989440584954	0.014705882352941235
GADD45B	12.3038851263087	0.01023657106372855
HSPA1L	13.2648230230687	0.005683250163813325
BDNF	5.66854953092572	-0.0049019607843136526
GADD45A	10.3161184134073	0.006338525127275285
EGF	0.942723181533738	-0.0049019607843136526
NFKB1	23.7134019313944	-0.004901960784313708
FGF17	21.6719598852658	-0.004901960784313708
NR4A1	5.80633574328587	-0.0049019607843136526
FGF14	23.1677495283377	-0.004901960784313708
FGF12	23.2841925613123	-0.004901960784313708
LAMTOR3	11.4470155849713	0.014705882352941235
FGF10	19.9086669349944	-0.004901960784313708
