Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_ANGIOGENESIS	0	NA	NA	NA	NA	NA	NA
HALLMARK_E2F_TARGETS	0	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	0	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_JUNCTION	0	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	0	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V2	0	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	0	NA	NA	NA	NA	NA	NA
HALLMARK_HEME_METABOLISM	1	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V1	1	NA	NA	NA	NA	NA	NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	NA	NA	NA	NA	NA	NA
HALLMARK_G2M_CHECKPOINT	1	NA	NA	NA	NA	NA	NA
HALLMARK_ADIPOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	1	NA	NA	NA	NA	NA	NA
HALLMARK_KRAS_SIGNALING_DN	1	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	1	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	NA	NA	NA	NA	NA	NA
HALLMARK_DNA_REPAIR	1	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	1	NA	NA	NA	NA	NA	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	NA	NA	NA	NA	NA	NA
HALLMARK_MYOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2	NA	NA	NA	NA	NA	NA
HALLMARK_PEROXISOME	2	NA	NA	NA	NA	NA	NA
HALLMARK_INFLAMMATORY_RESPONSE	2	NA	NA	NA	NA	NA	NA
HALLMARK_FATTY_ACID_METABOLISM	2	NA	NA	NA	NA	NA	NA
HALLMARK_XENOBIOTIC_METABOLISM	3	NA	NA	NA	NA	NA	NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	NA	NA	NA	NA	NA	NA
HALLMARK_ALLOGRAFT_REJECTION	3	NA	NA	NA	NA	NA	NA
HALLMARK_P53_PATHWAY	4	NA	NA	NA	NA	NA	NA
HALLMARK_IL6_JAK_STAT3_SIGNALING	4	NA	NA	NA	NA	NA	NA
HALLMARK_ESTROGEN_RESPONSE_EARLY	4	NA	NA	NA	NA	NA	NA
HALLMARK_INTERFERON_GAMMA_RESPONSE	4	NA	NA	NA	NA	NA	NA
HALLMARK_APOPTOSIS	4	NA	NA	NA	NA	NA	NA
HALLMARK_COAGULATION	4	NA	NA	NA	NA	NA	NA
HALLMARK_KRAS_SIGNALING_UP	5	0.0146	0.06413333333333333	0.0	0.0	0.9813130253523347	1.9622310831556877
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5	0.2736	0.5928	0.0	0.0	0.8827590156810882	2.0143571403232388
HALLMARK_GLYCOLYSIS	5	0.5489	0.8919625	0.0	0.0	0.48175576878335435	23.23066279908951
HALLMARK_UV_RESPONSE_UP	5	0.0148	0.06413333333333333	0.0	0.0	0.988901493835836	2.275815472228058
HALLMARK_UV_RESPONSE_DN	5	0.6706	0.9088083333333332	0.0	0.0	0.8613475938338446	1.4941048616459442
HALLMARK_ANDROGEN_RESPONSE	5	0.8389	0.9088083333333332	0.0	0.0	0.6675046173845578	1.3065895720721352
HALLMARK_ESTROGEN_RESPONSE_LATE	5	0.2357	0.5928	0.0	0.0	0.5604242612725833	22.604033493504996
HALLMARK_COMPLEMENT	6	0.1	0.325	0.0	0.0	0.6489825948216359	22.542419829566214
HALLMARK_HYPOXIA	6	0.7	0.9088083333333332	0.0	0.0	0.5970842764868247	0.9760456517621425
HALLMARK_TNFA_SIGNALING_VIA_NFKB	7	0.8	0.9088083333333332	0.0	0.0	0.7716026100243784	3.172605124043978
HALLMARK_IL2_STAT5_SIGNALING	8	0.4	0.7428571428571429	0.0	0.0	0.4769202124335177	1.3594501876972236
HALLMARK_MTORC1_SIGNALING	9	1.0	1.0	0.0	0.0	0.5995631890390191	1.1131142384469443
HALLMARK_OXIDATIVE_PHOSPHORYLATION	10	0.1	0.325	0.0	0.0	0.8832030643586811	0.4903832795953592
