"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycolysis or Gluconeogenesis",61,7.575,24,6.0272e-08,7.2199,5.0628e-06,5.0628e-06,1.3667
"Fructose and mannose metabolism",40,4.9672,16,8.3096e-06,5.0804,0.00068969,0.000349,1.4359
"Glycerolipid metabolism",35,4.3463,12,0.0006326,3.1989,0.051873,0.017713,0.76471
"Retinol metabolism",47,5.8365,14,0.0011295,2.9471,0.091492,0.02372,0.93478
"Purine metabolism",166,20.614,34,0.0015431,2.8116,0.12345,0.025924,0.90303
"Nitrogen metabolism",10,1.2418,5,0.0042357,2.3731,0.33462,0.055423,0.33333
"Starch and sucrose metabolism",43,5.3398,12,0.0046185,2.3355,0.36025,0.055423,0.80952
"Phenylalanine metabolism",21,2.6078,7,0.010495,1.979,0.8081,0.1102,1.3
"Arginine and proline metabolism",78,9.6861,17,0.012715,1.8957,0.96631,0.11867,0.62338
"Glutathione metabolism",56,6.9541,13,0.016772,1.7754,1,0.14088,0.45455
"Butanoate metabolism",29,3.6012,8,0.021093,1.6759,1,0.16108,0.5
"Glycerophospholipid metabolism",86,10.68,17,0.031853,1.4968,1,0.22297,0.56471
"Aminoacyl-tRNA biosynthesis",74,9.1893,15,0.034659,1.4602,1,0.22395,0.24658
"beta-Alanine metabolism",44,5.4639,10,0.038954,1.4094,1,0.23373,0.53488
"Galactose metabolism",51,6.3332,11,0.044137,1.3552,1,0.24717,0.72
"Cysteine and methionine metabolism",71,8.8168,14,0.049841,1.3024,1,0.25342,0.54286
"Valine, leucine and isoleucine biosynthesis",12,1.4902,4,0.051287,1.29,1,0.25342,0.45455
"Amino sugar and nucleotide sugar metabolism",79,9.8102,15,0.05772,1.2387,1,0.25722,0.84615
"Pentose phosphate pathway",47,5.8365,10,0.058181,1.2352,1,0.25722,0.63043
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",18,2.2352,5,0.062444,1.2045,1,0.26226,0.70588
"Lysine degradation",49,6.0848,10,0.073955,1.131,1,0.29582,0.5
"Neomycin, kanamycin and gentamicin biosynthesis",4,0.49672,2,0.077771,1.1092,1,0.29694,1.3333
"Pyruvate metabolism",45,5.5881,9,0.096955,1.0134,1,0.3541,0.86364
"Taurine and hypotaurine metabolism",16,1.9869,4,0.12716,0.89566,1,0.44486,0.73333
