"",matched_features
Glycolysis or Gluconeogenesis,cpd:C00024; cpd:C05345; hsa:219; hsa:220; hsa:125; hsa:5162; hsa:3939; hsa:3948; hsa:5315; hsa:2026; hsa:5223; hsa:669; hsa:2597; hsa:26330; hsa:7167; hsa:226; hsa:229; hsa:230; hsa:5213; hsa:8789; hsa:80201; hsa:2645; hsa:5230; hsa:84532
Fructose and mannose metabolism,cpd:C00794; cpd:C00095; cpd:C00275; cpd:C05345; cpd:C00325; hsa:80201; hsa:4351; hsa:5372; hsa:7264; hsa:5213; hsa:7167; hsa:226; hsa:229; hsa:230; hsa:26007; hsa:8789
Glycerolipid metabolism,cpd:C00258; hsa:1056; hsa:119548; hsa:196051; hsa:64900; hsa:8613; hsa:10554; hsa:26007; hsa:219; hsa:4023; hsa:139189; hsa:1608
Retinol metabolism,hsa:125; hsa:216; hsa:53630; hsa:9227; hsa:145226; hsa:1592; hsa:56603; hsa:1551; hsa:1576; hsa:1577; hsa:1548; hsa:1562; hsa:10170; hsa:1579
Purine metabolism,cpd:C00064; cpd:C00020; cpd:C05512; cpd:C00059; cpd:C00301; cpd:C00147; cpd:C00366; cpd:C00086; hsa:7498; hsa:5631; hsa:10846; hsa:5139; hsa:27115; hsa:115; hsa:196883; hsa:55811; hsa:954; hsa:4830; hsa:4831; hsa:115024; hsa:30833; hsa:353; hsa:131870; hsa:51292; hsa:2987; hsa:55821; hsa:374659; hsa:5145; hsa:5146; hsa:5149; hsa:5152; hsa:8654; hsa:2272; hsa:5315
Nitrogen metabolism,cpd:C00064; hsa:759; hsa:761; hsa:767; hsa:768
Starch and sucrose metabolism,cpd:C00095; cpd:C00089; cpd:C00029; hsa:80201; hsa:8972; hsa:93432; hsa:283209; hsa:2997; hsa:2998; hsa:2645; hsa:279; hsa:5837
Phenylalanine metabolism,cpd:C00079; cpd:C00082; hsa:220; hsa:8639; hsa:2805; hsa:4282; hsa:10249
Arginine and proline metabolism,cpd:C00062; cpd:C00334; cpd:C00315; cpd:C00750; cpd:C00148; cpd:C01035; hsa:1152; hsa:1158; hsa:219; hsa:112483; hsa:1610; hsa:2805; hsa:65263; hsa:283208; hsa:5033; hsa:5625; hsa:4953
Glutathione metabolism,cpd:C00024; cpd:C00315; cpd:C00750; hsa:2687; hsa:2878; hsa:2879; hsa:27306; hsa:2938; hsa:2946; hsa:2949; hsa:4953; hsa:494143; hsa:79094
