"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471",NA,"C[C@@H](O)[C@H](O)C(O)=O","1"
"3-Methylglutaconic acid","3-Methylglutaconic acid","HMDB0000522","1551553",NA,"C\C(CC(O)=O)=C/C(O)=O","1"
"Kynurenine","Kynurenine","HMDB0000684","161166","C00328","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"alpha-Hydroxyisobutyric acid","alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(O)C(O)=O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"N-(3-acetamidopropyl)pyrrolidin-2-one","N-(3-acetamidopropyl)pyrrolidin-2-one","HMDB0061384","129397",NA,"CC(=O)NCCCN1CCCC1=O","1"
"Urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"Kynurenic acid","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"Leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(O)C(O)=O","1"
"Ophthalmic acid","Ophthalmic acid","HMDB0005765","7018721","C21016","CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","1"
"Salicylic acid","Salicylic acid","HMDB0001895","338","C00805","OC(=O)C1=C(O)C=CC=C1","1"
"Stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"gamma-Aminobutyric acid","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"N-Acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","C01132","CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O","1"
"Methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"3-Hydroxydodecanoic acid","3-Hydroxydodecanoic acid","HMDB0000387","5312805",NA,"CCCCCCCCC[C@H](O)CC(O)=O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"L-Valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"Oleoylcarnitine","Oleoylcarnitine","HMDB0005065","46907933",NA,"CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"(4E,14Z)-2-Aminooctadeca-4,14-diene-1,3-diol","NA","NA","NA","NA","NA","0"
"L-Arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"N-Acetyl-L-methionine","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"(13Z,16Z)-Docosadienoylcarnitine","NA","NA","NA","NA","NA","0"
"Spermine","Spermine","HMDB0001256","1103","C00750","NCCCNCCCCNCCCN","1"
"Tiglylcarnitine","Tiglylcarnitine","HMDB0002366","91825636",NA,"C\C=C(/C)C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"Palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"1-Carboxyethyltyrosine","NA","NA","NA","NA","NA","0"
"Methylimidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"Docosanoylcarnitine","Docosanoylcarnitine","HMDB0062468","71464577",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"N-Formyl-L-methionine","N-Formyl-L-methionine","HMDB0001015","439750","C03145","CSCC[C@H](NC=O)C(O)=O","1"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"Sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"O-Palmitoleoylcarnitine","NA","NA","NA","NA","NA","0"
"Adenosine monophosphate","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Arachidyl carnitine","Arachidyl carnitine","HMDB0006460","53477833",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"L-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"Myristoleoylcarnitine","Myristoleoylcarnitine","HMDB0240588","90659872",NA,"CCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"2-Methylbutyroylcarnitine","2-Methylbutyroylcarnitine","HMDB0000378","6426901",NA,"CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Phenylalanylglycine","Phenylalanylglycine","HMDB0028995","6992303",NA,"N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O","1"
"3-Hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"Uridine diphosphate glucose","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Glycylvaline","Glycylvaline","HMDB0028854","2724807",NA,"CC(C)[C@H](NC(=O)CN)C(O)=O","1"
"2,3-Dihydroxy-5-methylthio-4-pentenoic acid","NA","NA","NA","NA","NA","0"
"Linoleyl carnitine","Linoleyl carnitine","HMDB0006469","6450015",NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Myristoylcarnitine","NA","NA","NA","NA","NA","0"
"5'-Methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"Argininic acid","Argininic acid","HMDB0003148","160437",NA,"NC(=N)NCCC[C@H](O)C(O)=O","1"
"Proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"PC(18:0/18:0)","NA","NA","NA","NA","NA","0"
"Methylmalonic acid","Methylmalonic acid","HMDB0000202","487","C02170","CC(C(O)=O)C(O)=O","1"
"Nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"N-carbamoylglutamic Acid","NA","NA","NA","NA","NA","0"
"1-Carboxyethylisoleucine","NA","NA","NA","NA","NA","0"
"Pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Adenosine 2'-phosphate","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
"PI(16:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"Deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"2-Methylguanosine","2-Methylguanosine","HMDB0005862","3035422",NA,"CNC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"5,6-Dihydrouridine","5,6-Dihydrouridine","HMDB0000497","94312",NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(=O)NC1=O","1"
"1-Methylhistidine","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"N6-Carbamoyl-L-threonyladenosine","N6-Carbamoyl-L-threonyladenosine","HMDB0041623","92021849",NA,"C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Pyridoxamine","Pyridoxamine","HMDB0001431","1052","C00534","CC1=C(O)C(CN)=C(CO)C=N1","1"
"1-Carboxyethylleucine","NA","NA","NA","NA","NA","0"
"Cysteineglutathione disulfide","Cysteineglutathione disulfide","HMDB0000656","53477713",NA,"N[C@@H](CCC(=O)N[C@@H](CSSCC(N)C(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"Propionylcarnitine","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"3-Hydroxyhexadecanoylcarnitine","3-Hydroxyhexadecanoylcarnitine","HMDB0013336","126456228",NA,"CCCCCCCCCCCCCC(O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"Glutarylcarnitine","Glutarylcarnitine","HMDB0013130","53481699",NA,"C[N+](C)(C)C[C@@H](CC(O)=O)OC(=O)CCCC(O)=O","1"
"ADP-glucose","ADP-glucose","HMDB0006557","16500","C00498","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Lanthionine","Lanthionine","HMDB0240656","98504",NA,"N[C@@H](CSC[C@H](N)C(O)=O)C(O)=O","1"
"Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"Citicoline","Citicoline","HMDB0001413","13805","C00307","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"Phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"N8-Acetylspermidine","N8-Acetylspermidine","HMDB0002189","123689","C01029","CC(=O)NCCCCNCCCN","1"
"(S)-beta-Aminoisobutyric acid","(S)-beta-Aminoisobutyric acid","HMDB0002166","439434","C03284","C[C@@H](CN)C(O)=O","1"
"1-Carboxyethylphenylalanine","NA","NA","NA","NA","NA","0"
"alpha-Tocopherol","alpha-Tocopherol","HMDB0001893","14985","C02477","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"1-Methylinosine","1-Methylinosine","HMDB0002721","65095",NA,"CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O","1"
"Leucyl-Glycine","Leucyl-Glycine","HMDB0028929","79070",NA,"CC(C)CC(N)C(=O)NCC(O)=O","1"
"Isobutyryl-L-carnitine","Isobutyryl-L-carnitine","HMDB0000736","168379",NA,"CC(C)C(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Butyrylcarnitine","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"L-Carnitine","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"L-Targinine","L-Targinine","HMDB0029416","132862","C03884","CNC(=N)NCCC[C@H](N)C(O)=O","1"
"Tyrosylglycine","Tyrosylglycine","HMDB0029105","7021853",NA,"N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O","1"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"Isoleucyl-Glycine","Isoleucyl-Glycine","HMDB0028907","342532",NA,"CCC(C)C(N)C(=O)NCC(O)=O","1"
"o-Tyrosine","o-Tyrosine","HMDB0006050","91482",NA,"NC(CC1=CC=CC=C1O)C(O)=O","1"
"1-Carboxyethylvaline","NA","NA","NA","NA","NA","0"
"Homocitric acid","Homocitric acid","HMDB0003518","439459","C01251","OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O","1"
"Adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"Homo-L-arginine","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"Niacinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"Beta-D-Fructose 6-phosphate","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","C05345","OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"N2,N2-Dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919",NA,"CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
