first,second
o_ccmm,
o_fxr,3
eigen_first_var_cutoff,0.85
align_batch_only,false
train_n_models,80
plot_p_cutoff,0.05
out_cont_cov,1
train_collection_times,false
o_svd_n_dims,4
train_circular,false
seed_min_CV,0.14
o_dc,"[""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0""; ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_0"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1"" ""cond_1""]"
init_scale_1,false
eigen_reg,true
