"List","Num_genes"
"TMM name","/Users/henryhollis/Box Sync/Henry_stuff/AD_project/human_data/Cyclops_folders/tmms/scROSMAP/cogdx_controls/EdgeR_filt_normed/ExcSubtypes3and5_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR25BHQ1","3501"
"CTL_cyclers_AR33BHQ1","1678"
"AD_cyclers_AR25BHQ1","3793"
"AD_cyclers_AR33BHQ1","2036"
"AD_CTL_mthd2_cyclers_AR25BHQ1","4337"
"DR_cyclers_AR1BHQ2","54"
"DR_cyclers_AR25BHQ2","230"
"DR_cyclers_AR33BHQ2","316"
"DR_cyclers_mthd2_AR1_DRBHQ2","54"
"DR_cyclers_mthd2_AR25_DRBHQ2","229"
"DR_lostAmpAD_AR1BHQ2","45"
"DR_lostAmpAD_AR25BHQ2","184"
"DR_lostAmpAD_AR33BHQ2","254"
"DR_mthd2_lostAmpAD_AR1BHQ2","45"
"DR_mthd2_lostAmpAD_AR25BHQ2","184"
"DR_gainAmpAD_AR1BHQ2","9"
"DR_gainAmpAD_AR25BHQ2","46"
"DR_gainAmpAD_AR33BHQ2","62"
"DR_mthd2_gainAmpAD_AR1BHQ2","9"
"DR_mthd2_gainAmpAD_AR25BHQ2","45"
