"List","Num_genes"
"TMM name","../normed_counts/PseudobulkAllCell_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR20BHQ1","3141"
"CTL_cyclers_AR33BHQ1","557"
"AD_cyclers_AR20BHQ1","3003"
"AD_cyclers_AR33BHQ1","614"
"AD_CTL_mthd2_cyclers_AR20BHQ1","3953"
"DR_cyclers_AR1BHQ3","1363"
"DR_cyclers_AR20BHQ3","899"
"DR_cyclers_AR33BHQ3","239"
"DR_cyclers_mthd2_AR1_DRBHQ3","1353"
"DR_cyclers_mthd2_AR20_DRBHQ3","899"
"DR_lostAmpAD_AR1BHQ3","1104"
"DR_lostAmpAD_AR20BHQ3","685"
"DR_lostAmpAD_AR33BHQ3","143"
"DR_mthd2_lostAmpAD_AR1BHQ3","1095"
"DR_mthd2_lostAmpAD_AR20BHQ3","682"
"DR_gainAmpAD_AR1BHQ3","259"
"DR_gainAmpAD_AR20BHQ3","214"
"DR_gainAmpAD_AR33BHQ3","96"
"DR_mthd2_gainAmpAD_AR1BHQ3","258"
"DR_mthd2_gainAmpAD_AR20BHQ3","217"
