"List","Num_genes"
"TMM name","../normed_counts/InhNeurons_2_8_11_12_13_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR20BHQ1","1203"
"CTL_cyclers_AR33BHQ1","179"
"AD_cyclers_AR20BHQ1","990"
"AD_cyclers_AR33BHQ1","170"
"AD_CTL_mthd2_cyclers_AR20BHQ1","1569"
"DR_cyclers_AR1BHQ3","1086"
"DR_cyclers_AR20BHQ3","700"
"DR_cyclers_AR33BHQ3","86"
"DR_cyclers_mthd2_AR1_DRBHQ3","1100"
"DR_cyclers_mthd2_AR20_DRBHQ3","720"
"DR_lostAmpAD_AR1BHQ3","786"
"DR_lostAmpAD_AR20BHQ3","553"
"DR_lostAmpAD_AR33BHQ3","64"
"DR_mthd2_lostAmpAD_AR1BHQ3","784"
"DR_mthd2_lostAmpAD_AR20BHQ3","557"
"DR_gainAmpAD_AR1BHQ3","300"
"DR_gainAmpAD_AR20BHQ3","147"
"DR_gainAmpAD_AR33BHQ3","22"
"DR_mthd2_gainAmpAD_AR1BHQ3","316"
"DR_mthd2_gainAmpAD_AR20BHQ3","163"
