"List","Num_genes"
"TMM name","../normed_counts/ALL_Inh_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","1957"
"CTL_cyclers_AR33BHQ1","337"
"AD_cyclers_AR20BHQ1","1716"
"AD_cyclers_AR33BHQ1","297"
"AD_CTL_mthd2_cyclers_AR20BHQ1","2426"
"DR_cyclers_AR1BHQ3","549"
"DR_cyclers_AR20BHQ3","589"
"DR_cyclers_AR33BHQ3","79"
"DR_cyclers_mthd2_AR1_DRBHQ3","558"
"DR_cyclers_mthd2_AR20_DRBHQ3","590"
"DR_lostAmpAD_AR1BHQ3","435"
"DR_lostAmpAD_AR20BHQ3","479"
"DR_lostAmpAD_AR33BHQ3","67"
"DR_mthd2_lostAmpAD_AR1BHQ3","439"
"DR_mthd2_lostAmpAD_AR20BHQ3","478"
"DR_gainAmpAD_AR1BHQ3","114"
"DR_gainAmpAD_AR20BHQ3","110"
"DR_gainAmpAD_AR33BHQ3","12"
"DR_mthd2_gainAmpAD_AR1BHQ3","119"
"DR_mthd2_gainAmpAD_AR20BHQ3","112"
