"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"PER3",0.96721758036765,"5.65434619883715","5.5756900053962","10.1326431018661","9.92533695514556",0.996991241947103,1,0.0206714263391418
"NPAS2",0.255224967322702,"5.82248999517412","6.13566716332966","9.26705165450947","11.647837351464",0.996991241947103,1,-0.228655251095765
"PER2",0.571921533913878,"1.75098024590181","1.64489989529901","6.4885147122442","5.94208559724801",0.996991241947103,1,0.0879734642289283
"NR1D2",0.832518129645376,"3.66658160283266","3.64697853635384","10.2469425426723","8.69895818128385",0.996991241947103,1,0.16377610335547
"CLOCK",0.856784990445159,"4.69277749785624","4.57086392174449","8.69377373818244","9.83750393975175",0.996991241947103,1,-0.123594907052302
"ARNTL",0.636430411898801,"5.51489758578132","5.56359640059172","3.73290012684023","2.82080561680527",0.996991241947103,1,0.280162921577041
"ARNTL2",0.959483971085942,"0.559728738646885","0.510516489362235","2.64020083149725","2.76125598020397",0.996991241947103,1,-0.0448306547078508
"FBXL3",0.687609151759519,"3.9007807678383","4.00779227296731","4.09773799233358","3.2253968251834",0.996991241947103,1,0.239379123029193
"RORA",0.996991241947103,"6.07268684248662","6.0816263597297","232.722404285941","234.764964718911",0.996991241947103,1,-0.00873851815540467
"NR1D1",0.652857153666445,"4.229422493677","4.41649765383148","2.0917319526839","1.14546458296167",0.996991241947103,1,0.602182104277445
"CSNK1D",0.549808820302768,"1.18742557475538","0.975571277488646","1.75896735829598","1.09421326282812",0.996991241947103,1,0.474691285015295
"DBP",0.592340724974741,"3.09463512061732","3.049826210683","2.42558319061287","3.14379179890315",0.996991241947103,1,-0.259357664200781
"TEF",0.441960958587567,"3.57180279264546","3.87075568543372","3.73587563583053","4.12522665030021",0.996991241947103,1,-0.0991387320459078
