"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"3-Hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"3-Hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"LysoPE(P-16:0/0:0)","NA","NA","NA","NA","NA","0"
"LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)","NA","NA","NA","NA","NA","0"
"1-Carboxyethylisoleucine","NA","NA","NA","NA","NA","0"
"1-Carboxyethylleucine","NA","NA","NA","NA","NA","0"
"1-Carboxyethylphenylalanine","NA","NA","NA","NA","NA","0"
"1-Carboxyethyltyrosine","NA","NA","NA","NA","NA","0"
"1-Carboxyethylvaline","NA","NA","NA","NA","NA","0"
"Methylimidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"PE(18:1(9Z)/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008937","9546800","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PI(16:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PS(16:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"LysoPS(16:0/0:0)","NA","NA","NA","NA","NA","0"
"Imidazoleacetic acid riboside","Imidazoleacetic acid riboside","HMDB0002331","440569","C05131","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC(CC(O)=O)=C1","1"
"12-HETE","12-HETE","HMDB0006111","5283155","C14777","CCCCC\C=C/C[C@H](O)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"alpha-Hydroxyisobutyric acid","alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(O)C(O)=O","1"
"2-Methylbutyroylcarnitine","2-Methylbutyroylcarnitine","HMDB0000378","6426901",NA,"CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"2,3-Dihydroxy-5-methylthio-4-pentenoic acid","NA","NA","NA","NA","NA","0"
"Adenosine 2'-phosphate","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
"Deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"Deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471",NA,"C[C@@H](O)[C@H](O)C(O)=O","1"
