"Ensembl","Gene_Symbols"
"ENSG00000175756","AURKAIP1"
"ENSG00000235098","ANKRD65"
"ENSG00000235169","SMIM1"
"ENSG00000173436","MICOS10"
"ENSG00000142676","RPL11"
"ENSG00000142684","ZNF593"
"ENSG00000130770","ATP5IF1"
"ENSG00000121764","HCRTR1"
"ENSG00000162520","SYNC"
"ENSG00000181817","LSM10"
"ENSG00000168653","NDUFS5"
"ENSG00000173660","UQCRH"
"ENSG00000198841","KTI12"
"ENSG00000134248","LAMTOR5"
"ENSG00000203782","LOR"
"ENSG00000197956","S100A6"
"ENSG00000177954","RPS27"
"ENSG00000179085","DPM3"
"ENSG00000163479","SSR2"
"ENSG00000215845","TSTD1"
"ENSG00000143222","UFC1"
"ENSG00000162746","FCRLB"
"ENSG00000232237","ASCL5"
"ENSG00000182004","SNRPE"
"ENSG00000143774","GUK1"
"ENSG00000171863","RPS7"
"ENSG00000184924","PTRHD1"
"ENSG00000115138","POMC"
"ENSG00000228474","OST4"
"ENSG00000115226","FNDC4"
"ENSG00000188010","MORN2"
"ENSG00000143947","RPS27A"
"ENSG00000186889","TMEM17"
"ENSG00000163170","BOLA3"
"ENSG00000204822","MRPL53"
"ENSG00000115350","POLE4"
"ENSG00000034510","TMSB10"
"ENSG00000286532","PARTICL"
"ENSG00000168894","RNF181"
"ENSG00000135940","COX5B"
"ENSG00000125611","CHCHD5"
"ENSG00000152082","MZT2B"
"ENSG00000119013","NDUFB3"
"ENSG00000114942","EEF1B2"
"ENSG00000197756","RPL37A"
"ENSG00000115661","STK16"
"ENSG00000135916","ITM2C"
"ENSG00000172428","COPS9"
"ENSG00000254999","BRK1"
"ENSG00000144713","RPL32"
"ENSG00000170860","LSM3"
"ENSG00000174748","RPL15"
"ENSG00000168028","RPSA"
"ENSG00000114784","EIF1B"
"ENSG00000188846","RPL14"
"ENSG00000232112","TMA7"
"ENSG00000162244","RPL29"
"ENSG00000114902","SPCS1"
"ENSG00000114391","RPL24"
"ENSG00000121594","CD80"
"ENSG00000138495","COX17"
"ENSG00000180697","C3orf22"
"ENSG00000163584","RPL22L1"
"ENSG00000136521","NDUFB5"
"ENSG00000270170","NCBP2AS2"
"ENSG00000182899","RPL35A"
"ENSG00000169020","ATP5ME"
"ENSG00000243449","C4orf48"
"ENSG00000163682","RPL9"
"ENSG00000145337","PYURF"
"ENSG00000164032","H2AFZ"
"ENSG00000109475","RPL34"
"ENSG00000269893","SNHG8"
"ENSG00000145425","RPS3A"
"ENSG00000171421","MRPL36"
"ENSG00000145494","NDUFS6"
"ENSG00000145741","BTF3"
"ENSG00000186468","RPS23"
"ENSG00000127184","COX7C"
"ENSG00000169567","HINT1"
"ENSG00000164405","UQCRQ"
"ENSG00000213585","VDAC1"
"ENSG00000113578","FGF1"
"ENSG00000164587","RPS14"
"ENSG00000177556","ATOX1"
"ENSG00000170231","FABP6"
"ENSG00000169230","PRELID1"
"ENSG00000278970","HEIH"
"ENSG00000145945","FAM50B"
"ENSG00000124785","NRN1"
"ENSG00000187566","NHLRC1"
"ENSG00000204392","LSM2"
"ENSG00000204387","SNHG32"
"ENSG00000204308","RNF5"
"ENSG00000231500","RPS18"
"ENSG00000124614","RPS10"
"ENSG00000198755","RPL10A"
"ENSG00000214736","TOMM6"
"ENSG00000221821","C6orf226"
"ENSG00000112667","DNPH1"
"ENSG00000112695","COX7A2"
"ENSG00000112306","RPS12"
"ENSG00000146386","ABRACL"
"ENSG00000106268","NUDT1"
"ENSG00000189043","NDUFA4"
"ENSG00000196683","TOMM7"
"ENSG00000172115","CYCS"
"ENSG00000062582","MRPS24"
"ENSG00000232956","SNHG15"
"ENSG00000132432","SEC61G"
"ENSG00000106153","CHCHD2"
"ENSG00000241468","ATP5MF"
"ENSG00000128564","VGF"
"ENSG00000214253","FIS1"
"ENSG00000240204","SMKR1"
"ENSG00000260231","KDM7A-DT"
"ENSG00000090266","NDUFB2"
"ENSG00000154328","NEIL2"
"ENSG00000164743","C8orf48"
"ENSG00000147571","CRH"
"ENSG00000245910","SNHG6"
"ENSG00000147604","RPL7"
"ENSG00000176731","RBIS"
"ENSG00000156467","UQCRB"
"ENSG00000156482","RPL30"
"ENSG00000147669","POLR2K"
"ENSG00000205002","AARD"
"ENSG00000130193","THEM6"
"ENSG00000160932","LY6E"
"ENSG00000167700","MFSD3"
"ENSG00000107262","BAG1"
"ENSG00000164967","RPP25L"
"ENSG00000137100","DCTN3"
"ENSG00000137133","HINT2"
"ENSG00000175768","TOMM5"
"ENSG00000106803","SEC61B"
"ENSG00000148229","POLE3"
"ENSG00000136942","RPL35"
"ENSG00000197958","RPL12"
"ENSG00000171159","C9orf16"
"ENSG00000119335","SET"
"ENSG00000167136","ENDOG"
"ENSG00000148303","RPL7A"
"ENSG00000148291","SURF2"
"ENSG00000244187","TMEM141"
"ENSG00000054148","PHPT1"
"ENSG00000187713","TMEM203"
"ENSG00000170324","FRMPD2"
"ENSG00000156574","NODAL"
"ENSG00000172586","CHCHD1"
"ENSG00000138326","RPS24"
"ENSG00000173267","SNCG"
"ENSG00000075891","PAX2"
"ENSG00000107833","NPM3"
"ENSG00000173915","ATP5MD"
"ENSG00000177600","RPLP2"
"ENSG00000177700","POLR2L"
"ENSG00000181649","PHLDA2"
"ENSG00000170955","CAVIN3"
"ENSG00000166441","RPL27A"
"ENSG00000110700","RPS13"
"ENSG00000134809","TIMM10"
"ENSG00000211450","SELENOH"
"ENSG00000229859","PGA3"
"ENSG00000134825","TMEM258"
"ENSG00000167996","FTH1"
"ENSG00000204922","UQCC3"
"ENSG00000162191","UBXN1"
"ENSG00000126432","PRDX5"
"ENSG00000146670","CDCA5"
"ENSG00000174276","ZNHIT2"
"ENSG00000149806","FAU"
"ENSG00000175602","CCDC85B"
"ENSG00000175550","DRAP1"
"ENSG00000175482","POLD4"
"ENSG00000167799","NUDT8"
"ENSG00000110200","ANAPC15"
"ENSG00000170290","SLN"
"ENSG00000150779","TIMM8B"
"ENSG00000118181","RPS25"
"ENSG00000111639","MRPL51"
"ENSG00000111652","COPS7A"
"ENSG00000111678","C12orf57"
"ENSG00000139112","GABARAPL1"
"ENSG00000212128","TAS2R13"
"ENSG00000174236","REP15"
"ENSG00000178449","COX14"
"ENSG00000123349","PFDN5"
"ENSG00000135404","CD63"
"ENSG00000197728","RPS26"
"ENSG00000229117","RPL41"
"ENSG00000136003","ISCU"
"ENSG00000089248","ERP29"
"ENSG00000089009","RPL6"
"ENSG00000170855","TRIAP1"
"ENSG00000122026","RPL21"
"ENSG00000132963","POMP"
"ENSG00000136159","NUDT15"
"ENSG00000283199","C13orf46"
"ENSG00000179933","C14orf119"
"ENSG00000100938","GMPR2"
"ENSG00000213741","RPS29"
"ENSG00000165502","RPL36AL"
"ENSG00000165898","ISCA2"
"ENSG00000119705","SLIRP"
"ENSG00000153485","TMEM251"
"ENSG00000119632","IFI27L2"
"ENSG00000182512","GLRX5"
"ENSG00000156411","ATP5MPL"
"ENSG00000182117","NOP10"
"ENSG00000137880","GCHFR"
"ENSG00000104140","RHOV"
"ENSG00000140264","SERF2"
"ENSG00000137876","RSL24D1"
"ENSG00000174446","SNAPC5"
"ENSG00000137818","RPLP1"
"ENSG00000166823","MESP1"
"ENSG00000184508","HDDC3"
"ENSG00000231439","WASIR2"
"ENSG00000161981","SNRNP25"
"ENSG00000086506","HBQ1"
"ENSG00000103266","STUB1"
"ENSG00000103254","ANTKMT"
"ENSG00000007520","TSR3"
"ENSG00000174109","C16orf91"
"ENSG00000074071","MRPS34"
"ENSG00000198736","MSRB1"
"ENSG00000140990","NDUFB10"
"ENSG00000140988","RPS2"
"ENSG00000103363","ELOB"
"ENSG00000162069","BICDL2"
"ENSG00000134419","RPS15A"
"ENSG00000178226","PRSS36"
"ENSG00000169900","PYDC1"
"ENSG00000168701","TMEM208"
"ENSG00000102981","PARD6A"
"ENSG00000205220","PSMB10"
"ENSG00000034713","GABARAPL2"
"ENSG00000131143","COX4I1"
"ENSG00000198931","APRT"
"ENSG00000167515","TRAPPC2L"
"ENSG00000167526","RPL13"
"ENSG00000167705","RILP"
"ENSG00000127774","EMC6"
"ENSG00000142507","PSMB6"
"ENSG00000219200","RNASEK"
"ENSG00000170296","GABARAP"
"ENSG00000205544","TMEM256"
"ENSG00000161970","RPL26"
"ENSG00000175061","SNHG29"
"ENSG00000198242","RPL23A"
"ENSG00000125691","RPL23"
"ENSG00000108298","RPL19"
"ENSG00000186395","KRT10"
"ENSG00000131475","VPS25"
"ENSG00000183978","COA3"
"ENSG00000179673","RPRML"
"ENSG00000159199","ATP5MC1"
"ENSG00000243678","NME2"
"ENSG00000213246","SUPT4H1"
"ENSG00000172809","RPL38"
"ENSG00000125458","NT5C"
"ENSG00000224877","NDUFAF8"
"ENSG00000204237","OXLD1"
"ENSG00000183684","ALYREF"
"ENSG00000141552","ANAPC11"
"ENSG00000183979","NPB"
"ENSG00000169689","CENPX"
"ENSG00000177576","C18orf32"
"ENSG00000265681","RPL17"
"ENSG00000167468","GPX4"
"ENSG00000228300","FAM174C"
"ENSG00000115268","RPS15"
"ENSG00000127540","UQCR11"
"ENSG00000104886","PLEKHJ1"
"ENSG00000104904","OAZ1"
"ENSG00000130332","LSM7"
"ENSG00000099800","TIMM13"
"ENSG00000183617","MRPL54"
"ENSG00000174917","MICOS13"
"ENSG00000229833","PET100"
"ENSG00000260001","TGFBR3L"
"ENSG00000267855","NDUFA7"
"ENSG00000233927","RPS28"
"ENSG00000198258","UBL5"
"ENSG00000267673","FDX2"
"ENSG00000179271","GADD45GIP1"
"ENSG00000104979","C19orf53"
