"Ensembl","Gene_Symbols"
"ENSG00000188290","HES4"
"ENSG00000157911","PEX10"
"ENSG00000241563","CORT"
"ENSG00000142676","RPL11"
"ENSG00000198830","HMGN2"
"ENSG00000130770","ATP5IF1"
"ENSG00000160050","CCDC28B"
"ENSG00000162520","SYNC"
"ENSG00000181817","LSM10"
"ENSG00000197982","C1orf122"
"ENSG00000168653","NDUFS5"
"ENSG00000142937","RPS8"
"ENSG00000173660","UQCRH"
"ENSG00000198841","KTI12"
"ENSG00000162618","ADGRL4"
"ENSG00000060718","COL11A1"
"ENSG00000197780","TAF13"
"ENSG00000134248","LAMTOR5"
"ENSG00000134207","SYT6"
"ENSG00000178096","BOLA1"
"ENSG00000143436","MRPL9"
"ENSG00000143553","SNAPIN"
"ENSG00000177954","RPS27"
"ENSG00000143575","HAX1"
"ENSG00000179085","DPM3"
"ENSG00000163479","SSR2"
"ENSG00000143222","UFC1"
"ENSG00000248485","PCP4L1"
"ENSG00000143333","RGS16"
"ENSG00000182004","SNRPE"
"ENSG00000181218","HIST3H2A"
"ENSG00000171863","RPS7"
"ENSG00000162975","KCNF1"
"ENSG00000228474","OST4"
"ENSG00000138085","ATRAID"
"ENSG00000115226","FNDC4"
"ENSG00000234690","EPCAM-DT"
"ENSG00000143947","RPS27A"
"ENSG00000135617","PRADC1"
"ENSG00000135624","CCT7"
"ENSG00000163170","BOLA3"
"ENSG00000168894","RNF181"
"ENSG00000135940","COX5B"
"ENSG00000125611","CHCHD5"
"ENSG00000152082","MZT2B"
"ENSG00000119013","NDUFB3"
"ENSG00000114942","EEF1B2"
"ENSG00000197756","RPL37A"
"ENSG00000163521","GLB1L"
"ENSG00000171951","SCG2"
"ENSG00000172428","COPS9"
"ENSG00000188542","DUSP28"
"ENSG00000163701","IL17RE"
"ENSG00000144713","RPL32"
"ENSG00000170860","LSM3"
"ENSG00000174748","RPL15"
"ENSG00000163513","TGFBR2"
"ENSG00000153551","CMTM7"
"ENSG00000168028","RPSA"
"ENSG00000114784","EIF1B"
"ENSG00000188846","RPL14"
"ENSG00000187094","CCK"
"ENSG00000164051","CCDC51"
"ENSG00000232112","TMA7"
"ENSG00000221883","ARIH2OS"
"ENSG00000178035","IMPDH2"
"ENSG00000145050","MANF"
"ENSG00000162244","RPL29"
"ENSG00000114902","SPCS1"
"ENSG00000113811","SELENOK"
"ENSG00000114391","RPL24"
"ENSG00000138495","COX17"
"ENSG00000231213","PLSCR5"
"ENSG00000079257","LXN"
"ENSG00000163584","RPL22L1"
"ENSG00000136521","NDUFB5"
"ENSG00000205981","DNAJC19"
"ENSG00000161203","AP2M1"
"ENSG00000157005","SST"
"ENSG00000270170","NCBP2AS2"
