"Ensembl","Gene_Symbols"
"ENSG00000128245","YWHAH"
"ENSG00000132639","SNAP25"
"ENSG00000163032","VSNL1"
"ENSG00000017427","IGF1"
"ENSG00000142920","AZIN2"
"ENSG00000170027","YWHAG"
"ENSG00000124126","PREX1"
"ENSG00000166833","NAV2"
"ENSG00000141298","SSH2"
"ENSG00000248905","FMN1"
"ENSG00000175899","A2M"
"ENSG00000168329","CX3CR1"
"ENSG00000114861","FOXP1"
"ENSG00000124785","NRN1"
"ENSG00000184524","CEND1"
"ENSG00000213190","MLLT11"
"ENSG00000117152","RGS4"
"ENSG00000213316","LTC4S"
"ENSG00000156298","TSPAN7"
"ENSG00000144834","TAGLN3"
"ENSG00000164574","GALNT10"
"ENSG00000128524","ATP6V1F"
"ENSG00000165943","MOAP1"
"ENSG00000130558","OLFM1"
"ENSG00000160014","CALM3"
"ENSG00000019485","PRDM11"
"ENSG00000126247","CAPNS1"
"ENSG00000140678","ITGAX"
"ENSG00000180353","HCLS1"
"ENSG00000158828","PINK1"
"ENSG00000171314","PGAM1"
"ENSG00000125814","NAPB"
"ENSG00000171617","ENC1"
"ENSG00000240694","PNMA2"
"ENSG00000197457","STMN3"
"ENSG00000182022","CHST15"
"ENSG00000198879","SFMBT2"
"ENSG00000111669","TPI1"
"ENSG00000130540","SULT4A1"
"ENSG00000140853","NLRC5"
"ENSG00000103034","NDRG4"
"ENSG00000187715","KBTBD12"
"ENSG00000177694","NAALADL2"
"ENSG00000147459","DOCK5"
"ENSG00000107372","ZFAND5"
"ENSG00000002822","MAD1L1"
"ENSG00000136167","LCP1"
"ENSG00000185742","C11orf87"
"ENSG00000186310","NAP1L3"
"ENSG00000125868","DSTN"
"ENSG00000089818","NECAP1"
"ENSG00000109107","ALDOC"
"ENSG00000153823","PID1"
"ENSG00000150782","IL18"
"ENSG00000172020","GAP43"
"ENSG00000155926","SLA"
"ENSG00000241360","PDXP"
"ENSG00000162188","GNG3"
"ENSG00000070087","PFN2"
"ENSG00000144893","MED12L"
"ENSG00000197081","IGF2R"
"ENSG00000204634","TBC1D8"
"ENSG00000076554","TPD52"
"ENSG00000164951","PDP1"
"ENSG00000164136","IL15"
"ENSG00000108924","HLF"
"ENSG00000136436","CALCOCO2"
"ENSG00000113327","GABRG2"
"ENSG00000187094","CCK"
"ENSG00000074416","MGLL"
"ENSG00000184060","ADAP2"
"ENSG00000049246","PER3"
"ENSG00000145088","EAF2"
"ENSG00000110077","MS4A6A"
"ENSG00000103266","STUB1"
"ENSG00000099194","SCD"
"ENSG00000152932","RAB3C"
"ENSG00000154518","ATP5MC3"
"ENSG00000173436","MICOS10"
"ENSG00000174705","SH3PXD2B"
"ENSG00000104833","TUBB4A"
"ENSG00000158201","ABHD3"
"ENSG00000106089","STX1A"
"ENSG00000165443","PHYHIPL"
"ENSG00000183230","CTNNA3"
"ENSG00000174684","B4GAT1"
"ENSG00000134294","SLC38A2"
"ENSG00000168993","CPLX1"
"ENSG00000083067","TRPM3"
"ENSG00000177575","CD163"
"ENSG00000185666","SYN3"
"ENSG00000239213","NCK1-DT"
"ENSG00000113448","PDE4D"
"ENSG00000092094","OSGEP"
"ENSG00000177675","CD163L1"
"ENSG00000105339","DENND3"
"ENSG00000114784","EIF1B"
"ENSG00000186462","NAP1L2"
"ENSG00000187554","TLR5"
"ENSG00000132821","VSTM2L"
"ENSG00000089127","OAS1"
"ENSG00000140022","STON2"
"ENSG00000179104","TMTC2"
"ENSG00000108256","NUFIP2"
"ENSG00000204851","PNMA8B"
"ENSG00000107968","MAP3K8"
"ENSG00000182568","SATB1"
"ENSG00000047579","DTNBP1"
"ENSG00000176903","PNMA1"
"ENSG00000142686","C1orf216"
"ENSG00000100580","TMED8"
"ENSG00000231131","LNCAROD"
"ENSG00000134590","RTL8C"
"ENSG00000140470","ADAMTS17"
"ENSG00000245532","NEAT1"
"ENSG00000105639","JAK3"
"ENSG00000057757","PITHD1"
"ENSG00000152944","MED21"
"ENSG00000130725","UBE2M"
"ENSG00000137767","SQOR"
"ENSG00000171368","TPPP"
"ENSG00000126432","PRDX5"
"ENSG00000157103","SLC6A1"
"ENSG00000147454","SLC25A37"
"ENSG00000159110","IFNAR2"
"ENSG00000131389","SLC6A6"
"ENSG00000177432","NAP1L5"
"ENSG00000068650","ATP11A"
"ENSG00000143110","C1orf162"
"ENSG00000088899","LZTS3"
"ENSG00000068024","HDAC4"
"ENSG00000158747","NBL1"
"ENSG00000181631","P2RY13"
"ENSG00000163964","PIGX"
"ENSG00000132405","TBC1D14"
"ENSG00000145569","OTULINL"
"ENSG00000133794","ARNTL"
"ENSG00000196954","CASP4"
"ENSG00000186815","TPCN1"
"ENSG00000171885","AQP4"
"ENSG00000097021","ACOT7"
"ENSG00000186047","DLEU7"
"ENSG00000171587","DSCAM"
"ENSG00000184900","SUMO3"
"ENSG00000065154","OAT"
"ENSG00000174886","NDUFA11"
"ENSG00000126775","ATG14"
"ENSG00000096092","TMEM14A"
"ENSG00000127990","SGCE"
"ENSG00000120306","CYSTM1"
"ENSG00000135365","PHF21A"
"ENSG00000120860","WASHC3"
"ENSG00000116729","WLS"
"ENSG00000159216","RUNX1"
"ENSG00000132334","PTPRE"
"ENSG00000186063","AIDA"
"ENSG00000112242","E2F3"
"ENSG00000096060","FKBP5"
"ENSG00000198223","CSF2RA"
"ENSG00000189367","KIAA0408"
"ENSG00000100578","KIAA0586"
"ENSG00000135070","ISCA1"
"ENSG00000106153","CHCHD2"
"ENSG00000155629","PIK3AP1"
"ENSG00000100504","PYGL"
"ENSG00000164105","SAP30"
"ENSG00000170091","NSG2"
"ENSG00000069974","RAB27A"
"ENSG00000165169","DYNLT3"
"ENSG00000121297","TSHZ3"
"ENSG00000186654","PRR5"
"ENSG00000147862","NFIB"
"ENSG00000217555","CKLF"
"ENSG00000109738","GLRB"
"ENSG00000155304","HSPA13"
"ENSG00000124140","SLC12A5"
"ENSG00000000460","C1orf112"
"ENSG00000186818","LILRB4"
"ENSG00000130303","BST2"
"ENSG00000087157","PGS1"
"ENSG00000136003","ISCU"
"ENSG00000249859","PVT1"
"ENSG00000183036","PCP4"
"ENSG00000213760","ATP6V1G2"
"ENSG00000111817","DSE"
"ENSG00000153250","RBMS1"
"ENSG00000169085","VXN"
"ENSG00000163162","RNF149"
"ENSG00000198168","SVIP"
"ENSG00000167778","SPRYD3"
"ENSG00000109667","SLC2A9"
"ENSG00000106278","PTPRZ1"
"ENSG00000108861","DUSP3"
"ENSG00000146083","RNF44"
"ENSG00000154589","LY96"
"ENSG00000105649","RAB3A"
"ENSG00000182389","CACNB4"
"ENSG00000165672","PRDX3"
"ENSG00000230989","HSBP1"
"ENSG00000148400","NOTCH1"
"ENSG00000145779","TNFAIP8"
"ENSG00000136535","TBR1"
"ENSG00000167202","TBC1D2B"
"ENSG00000112972","HMGCS1"
"ENSG00000140575","IQGAP1"
"ENSG00000169313","P2RY12"
"ENSG00000168913","ENHO"
"ENSG00000107105","ELAVL2"
"ENSG00000166432","ZMAT1"
"ENSG00000215218","UBE2QL1"
"ENSG00000152661","GJA1"
"ENSG00000111371","SLC38A1"
"ENSG00000131773","KHDRBS3"
"ENSG00000106367","AP1S1"
"ENSG00000006116","CACNG3"
"ENSG00000243646","IL10RB"
"ENSG00000168917","SLC35G2"
"ENSG00000157303","SUSD3"
"ENSG00000188641","DPYD"
"ENSG00000187189","TSPYL4"
"ENSG00000095261","PSMD5"
"ENSG00000168824","NSG1"
"ENSG00000198673","TAFA2"
"ENSG00000175130","MARCKSL1"
"ENSG00000167074","TEF"
"ENSG00000196873","CBWD3"
"ENSG00000187672","ERC2"
"ENSG00000174738","NR1D2"
"ENSG00000167291","TBC1D16"
"ENSG00000132122","SPATA6"
"ENSG00000125810","CD93"
"ENSG00000185753","CXorf38"
"ENSG00000104447","TRPS1"
"ENSG00000132563","REEP2"
"ENSG00000108984","MAP2K6"
"ENSG00000176142","TMEM39A"
"ENSG00000138496","PARP9"
"ENSG00000225663","MCRIP1"
"ENSG00000176124","DLEU1"
"ENSG00000136111","TBC1D4"
"ENSG00000176225","RTTN"
"ENSG00000263528","IKBKE"
"ENSG00000166428","PLD4"
"ENSG00000090530","P3H2"
"ENSG00000147533","GOLGA7"
"ENSG00000198626","RYR2"
"ENSG00000175182","FAM131A"
"ENSG00000140030","GPR65"
"ENSG00000237797","MACORIS"
"ENSG00000163625","WDFY3"
"ENSG00000136261","BZW2"
"ENSG00000125648","SLC25A23"
"ENSG00000137752","CASP1"
"ENSG00000103855","CD276"
"ENSG00000183172","SMDT1"
"ENSG00000134824","FADS2"
"ENSG00000184588","PDE4B"
"ENSG00000242173","ARHGDIG"
"ENSG00000168952","STXBP6"
"ENSG00000155052","CNTNAP5"
"ENSG00000078328","RBFOX1"
"ENSG00000001630","CYP51A1"
"ENSG00000165259","HDX"
"ENSG00000124225","PMEPA1"
"ENSG00000154582","ELOC"
"ENSG00000165023","DIRAS2"
"ENSG00000143226","FCGR2A"
"ENSG00000167613","LAIR1"
"ENSG00000103145","HCFC1R1"
"ENSG00000176406","RIMS2"
"ENSG00000196090","PTPRT"
"ENSG00000155659","VSIG4"
"ENSG00000145087","STXBP5L"
"ENSG00000137474","MYO7A"
"ENSG00000138311","ZNF365"
"ENSG00000188316","ENO4"
"ENSG00000174521","TTC9B"
"ENSG00000125534","PPDPF"
"ENSG00000010327","STAB1"
"ENSG00000113384","GOLPH3"
"ENSG00000136040","PLXNC1"
"ENSG00000173113","TRMT112"
"ENSG00000164221","CCDC112"
"ENSG00000143977","SNRPG"
"ENSG00000184515","BEX5"
"ENSG00000092929","UNC13D"
"ENSG00000169918","OTUD7A"
"ENSG00000105516","DBP"
"ENSG00000087088","BAX"
"ENSG00000100600","LGMN"
"ENSG00000152092","ASTN1"
"ENSG00000130208","APOC1"
"ENSG00000171680","PLEKHG5"
"ENSG00000065978","YBX1"
"ENSG00000134375","TIMM17A"
"ENSG00000110619","CARS"
"ENSG00000116133","DHCR24"
"ENSG00000109775","UFSP2"
"ENSG00000159199","ATP5MC1"
"ENSG00000197584","KCNMB2"
"ENSG00000168610","STAT3"
"ENSG00000171659","GPR34"
"ENSG00000145428","RNF175"
"ENSG00000108950","FAM20A"
"ENSG00000169564","PCBP1"
