"Ensembl","Gene_Symbols"
"ENSG00000168329","CX3CR1"
"ENSG00000142920","AZIN2"
"ENSG00000196683","TOMM7"
"ENSG00000070087","PFN2"
"ENSG00000166833","NAV2"
"ENSG00000019485","PRDM11"
"ENSG00000034510","TMSB10"
"ENSG00000213316","LTC4S"
"ENSG00000173915","ATP5MD"
"ENSG00000104368","PLAT"
"ENSG00000245532","NEAT1"
"ENSG00000162849","KIF26B"
"ENSG00000133794","ARNTL"
"ENSG00000144331","ZNF385B"
"ENSG00000172428","COPS9"
"ENSG00000269893","SNHG8"
"ENSG00000187051","RPS19BP1"
"ENSG00000159110","IFNAR2"
"ENSG00000124785","NRN1"
"ENSG00000183036","PCP4"
"ENSG00000177432","NAP1L5"
"ENSG00000171476","HOPX"
"ENSG00000145088","EAF2"
"ENSG00000172809","RPL38"
"ENSG00000197081","IGF2R"
"ENSG00000101463","SYNDIG1"
"ENSG00000145779","TNFAIP8"
"ENSG00000213760","ATP6V1G2"
"ENSG00000178449","COX14"
"ENSG00000166428","PLD4"
"ENSG00000017427","IGF1"
"ENSG00000105639","JAK3"
"ENSG00000181631","P2RY13"
"ENSG00000169313","P2RY12"
"ENSG00000158201","ABHD3"
"ENSG00000204634","TBC1D8"
"ENSG00000140853","NLRC5"
"ENSG00000078328","RBFOX1"
"ENSG00000224877","NDUFAF8"
"ENSG00000133019","CHRM3"
"ENSG00000165181","SHOC1"
"ENSG00000141552","ANAPC11"
"ENSG00000265972","TXNIP"
"ENSG00000173198","CYSLTR1"
"ENSG00000132405","TBC1D14"
"ENSG00000134419","RPS15A"
"ENSG00000248905","FMN1"
"ENSG00000132932","ATP8A2"
"ENSG00000145428","RNF175"
"ENSG00000143110","C1orf162"
"ENSG00000100504","PYGL"
"ENSG00000175354","PTPN2"
"ENSG00000185774","KCNIP4"
"ENSG00000184672","RALYL"
"ENSG00000229833","PET100"
"ENSG00000188641","DPYD"
"ENSG00000185760","KCNQ5"
"ENSG00000119013","NDUFB3"
"ENSG00000110077","MS4A6A"
"ENSG00000198918","RPL39"
"ENSG00000187554","TLR5"
"ENSG00000113916","BCL6"
"ENSG00000109466","KLHL2"
"ENSG00000187672","ERC2"
"ENSG00000171587","DSCAM"
"ENSG00000203747","FCGR3A"
"ENSG00000168917","SLC35G2"
"ENSG00000237797","MACORIS"
