GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
SELENOH,NM_001321335
UQCRQ,NM_014402
CD74,NM_001025158
ATOX1,NM_004045
RPS10,NM_001014
PPIL1,NM_016059
COX7A2,NM_001366292
NDUFA5,NM_001282419
POLR2K,NM_005034
PPP1R26,NM_014811
NEDD8,NM_006156
CTXN2,NM_001145668
CYB5D1,NM_001330110
SNHG29,NM_152350
C19orf53,NM_014047
POLR2I,NM_006233
PET117,NM_001164811
NEFH,NM_021076
UQCR10,NM_001003684
RPS19BP1,NM_194326
RPL29,NM_000992
DDT,NM_001084392
NDUFA1,NM_004541
NDUFB2,NM_004546
TMEM185B,NM_024121
RPL41,NM_001035267
RIIAD1,NM_001144956
MZT2A,NM_001085365
COPS9,NM_001163424
MRPL21,NM_181512
SNRNP25,NM_024571
ANTKMT,NM_001271285
RPS27,NM_001030
SNHG8,NR_003584
UQCR11,NM_006830
MRPS18B,NM_014046
RPS15A,NM_001019
ATP5MG,NM_006476
WDR64,NM_001367482
TMSB10,NM_021103
NRN1,NM_001278710
HDDC2,NM_016063
TOMM7,NM_019059
MICOS13,NM_001308240
MORN2,NM_001145450
RPS27A,NM_001135592
PRADC1,NM_032319
COX5B,NM_001862
IER3IP1,NM_016097
GIHCG,NR_038269
ZNF598,NM_001405664
TMEM220,NM_001004313
NRIP2,NM_031474
TMEM141,NM_032928
RPL39,NM_001000
FDX2,NM_001031734
PLCXD2,NM_001134478
DNPH1,NM_006443
FIS1,NM_016068
NDUFB1,NM_004545
MFAP1,NM_005926
LENG9,NM_001301782
RPS8,NM_001012
RPS21,NM_001024
MRPL40,NM_001318151
CCDC150,NM_001080539
COX17,NM_001382002
RPL10A,NM_007104
COX6C,NM_004374
COX14,NM_001257133
ATP5MPL,NA
RPS12,NM_001016
RPL30,NM_000989
EPHB3,NM_004443
SPAG7,NM_004890
PHF10,NM_018288
SUMO1,NM_001005781
PCDHA9,NM_014005
UQCRB,NM_001199975
PPP1R36,NM_172365
SELENOW,NM_003009
RPL34,NM_000995
ATP5MF,NM_001003713
TET1,NM_001406365
ATP5MD,NA
MYL6B,NM_001199629
KCNAB3,NM_004732
UQCRFS1,NM_006003
COX6B1,NM_001863
ATP5F1E,NM_006886
SUN2,NM_001199579
ANOS1,NM_000216
CHIT1,NM_001256125
BAG1,NM_001172415
RPS24,NM_001026
TMPRSS11F,NM_207407
TOMM6,NM_001134493
ATP5MC1,NM_001002027
CHCHD1,NM_203298
RPS13,NM_001017
FAU,NM_001997
UXT,NM_004182
PLK3,NM_004073
MZT2B,NM_001330282
TPT1,NM_001286272
CHGB,NM_001819
COX7B,NM_001866
UQCRH,NM_001297565
H2AFZ,NA
RPS3A,NM_001006
MRPL14,NM_001318767
RPL26,NM_000987
RPL11,NM_000975
RPL26L1,NM_001317980
HINT3,NM_138571
CHCHD2,NM_001320327
PDZRN4,NM_001164595
DNAH10OS,NM_001039894
NOP10,NM_018648
EMC6,NM_001014764
RNASEK,NM_001004333
CENPX,NM_001271006
MISP3,NM_001291291
TCEAL7,NM_001348258
GNB4,NM_021629
NDUFS6,NM_004553
RPS14,NM_001025070
CYCS,NM_018947
MRPL51,NM_016497
SRSF9,NM_003769
RPS29,NM_001030001
ZFP36L1,NM_001244698
RPL18A,NM_000980
AP1S2,NM_001272071
TCEAL8,NM_001006684
GBA2,NM_001330660
PHPT1,NM_001135860
PSMB6,NM_001270481
RPS15,NM_001018
GAN,NM_001377486
RPS28,NM_001031
COX4I1,NM_001318786
UBL5,NM_001048241
TOP3B,NM_001282112
RNF181,NM_016494
NCBP2AS2,NM_001355243
MRPS24,NM_032014
SEC61B,NM_006808
TMEM258,NM_014206
COX8A,NM_004074
RPL36AL,NM_001001
RPLP1,NM_001003
RPL38,NM_000999
