GENE_SYMBOLS,refseq_ids
TMEM201,NM_001010866
RRNAD1,NA
CHIT1,NM_001256125
WDR64,NM_001367482
TMEM185B,NM_024121
CCDC150,NM_001080539
SACM1L,NM_001319071
PLCXD2,NM_001134478
GTF2E1,NM_005513
GNB4,NM_021629
EPHB3,NM_004443
RNF4,NM_001185009
TMPRSS11F,NM_207407
RNF150,NM_020724
ABCE1,NM_001040876
ANKDD1B,NM_001271529
CD74,NM_001025158
HINT3,NM_138571
PHF10,NM_018288
PDGFA,NM_001395363
ACTL6B,NM_016188
OSGIN2,NM_001126111
GBA2,NM_001330660
RAD23B,NM_001244713
PPP1R26,NM_014811
DIPK1B,NM_152421
ITGB1-DT,NR_184020
CCDC6,NM_005436
TET1,NM_001406365
GOLGA7B,NM_001010917
CNNM1,NM_001345887
NRIP2,NM_031474
PDZRN4,NM_001164595
CSRNP2,NM_030809
DEPDC4,NM_001319310
TDG,NM_001008411
DNAH10OS,NM_001039894
PPP1R36,NM_172365
ZFP36L1,NM_001244698
CTXN2,NM_001145668
MFGE8,NM_001114614
ZNF598,NM_001405664
ZNF267,NM_001265588
SIAH1,NM_001006610
CYB5D1,NM_001330110
KCNAB3,NM_004732
TMEM220,NM_001004313
FLII,NM_001256264
EVI2B,NM_006495
LENG9,NM_001301782
ZNF134,NM_003435
ZNF211,NM_001265597
SNPH,NM_001318234
GZF1,NM_001317012
SLC5A3,NM_006933
TOP3B,NM_001282112
NEFH,NM_021076
SUN2,NM_001199579
FOXO4,NM_001170931
PIN4,NM_001170747
RNF113A,NM_006978
