NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	74	0.7983089	1.9159412	0.0	0.0	0.0	689	tags=72%, list=11%, signal=79%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	79	0.762973	1.8468057	0.0	0.0	0.0	1112	tags=78%, list=17%, signal=93%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	95	0.7337963	1.7884616	0.0	4.6552508E-4	0.0014	689	tags=55%, list=11%, signal=60%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	103	0.72702795	1.7761657	0.0	5.7371147E-4	0.0023	1016	tags=64%, list=16%, signal=75%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	Details ...	13	0.7954038	1.6679379	5.09684E-4	0.010416575	0.0515	607	tags=54%, list=9%, signal=59%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	21	0.7323252	1.6172247	6.0156407E-4	0.025461137	0.1423	814	tags=52%, list=12%, signal=60%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	35	0.69705135	1.6024836	0.0	0.028667489	0.1837	669	tags=46%, list=10%, signal=51%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	25	0.67442095	1.5100781	0.0021027336	0.11735556	0.612	1303	tags=64%, list=20%, signal=80%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	16	0.69417536	1.4898937	0.008181818	0.13906509	0.7138	1488	tags=56%, list=23%, signal=73%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Details ...	17	0.6831184	1.4786266	0.0075551528	0.14662471	0.7733	1136	tags=53%, list=17%, signal=64%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	18	0.6742502	1.4687775	0.0090588825	0.15270433	0.8182	498	tags=39%, list=8%, signal=42%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	29	0.62627214	1.4192412	0.0048028817	0.26181814	0.9604	835	tags=28%, list=13%, signal=31%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	Details ...	8	0.7193052	1.4028335	0.04574536	0.29323146	0.9781	944	tags=38%, list=14%, signal=44%	
KEGG_RIBOFLAVIN_METABOLISM	KEGG_RIBOFLAVIN_METABOLISM	Details ...	7	0.73424405	1.4000579	0.051013734	0.28141916	0.9819	616	tags=57%, list=9%, signal=63%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Details ...	13	0.6645453	1.3955038	0.03564862	0.27642462	0.9855	1287	tags=46%, list=20%, signal=57%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	8	0.7141532	1.3952731	0.05033593	0.2599334	0.9857	944	tags=50%, list=14%, signal=58%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	Details ...	13	0.64458334	1.3550174	0.05737872	0.38160393	0.998	1140	tags=31%, list=17%, signal=37%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Details ...	5	0.76109517	1.354988	0.074640706	0.3605093	0.998	591	tags=40%, list=9%, signal=44%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Details ...	21	0.6047776	1.3373945	0.041148134	0.40937403	0.9995	1144	tags=38%, list=18%, signal=46%	
