NAME	TITLE	SCORE	
FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	2.8431482	
FZD4-DT	FZD4 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54219]	2.7441628	
SHC4	SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]	2.7095013	
PSENEN	presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100]	2.59668	
HMOX2	heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]	2.4391904	
E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	2.3902457	
TMEM160	transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]	2.334159	
CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2.2460356	
PBDC1	polysaccharide biosynthesis domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28790]	2.2243507	
NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	2.1929543	
BEX5	brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990]	2.179479	
ZNF780A	zinc finger protein 780A [Source:HGNC Symbol;Acc:HGNC:27603]	2.154037	
ZNF354C	zinc finger protein 354C [Source:HGNC Symbol;Acc:HGNC:16736]	2.1235805	
SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	2.1171772	
COMMD9	COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]	2.0046544	
SCAND1	SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566]	2.0037744	
PIGBOS1	PIGB opposite strand 1 [Source:HGNC Symbol;Acc:HGNC:50696]	1.9934621	
PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	1.9773239	
FEZ1	fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]	1.9571726	
MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	1.9439081	
TIMM8A	translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817]	1.9384744	
COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	1.9176962	
ATP5MC1	ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841]	1.916996	
SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	1.9085621	
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	1.8690456	
THAP8	THAP domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23191]	1.8652754	
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	1.8509989	
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	1.8456761	
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]	1.8400954	
RNF181	ring finger protein 181 [Source:HGNC Symbol;Acc:HGNC:28037]	1.8041025	
RNASEK	ribonuclease K [Source:HGNC Symbol;Acc:HGNC:33911]	1.7863489	
B3GALT4	beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]	1.7846577	
TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]	1.7710762	
NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	1.7577387	
GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	1.7554948	
PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	1.7551643	
NAIF1	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]	1.7362559	
POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	1.7296529	
MAS1	MAS1 proto-oncogene, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:6899]	1.7287893	
RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	1.7261028	
SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	1.7232934	
PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	1.720164	
NDUFB1	NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695]	1.7098477	
PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	1.7071931	
ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	1.7063632	
MIS12	MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24967]	1.7042385	
SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	1.7040071	
MAGIX	MAGI family member, X-linked [Source:HGNC Symbol;Acc:HGNC:30006]	1.6939275	
TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1.670648	
